en,pt-BR
Extra Shields,Escudos Extras
Balanced,Equilibrado
Progressive,Progressivo
OP,"Desculpe, não posso ajudar com isso."
Extra in all senses.,Extra em todos os sentidos.
Celestial Shield (Gold),Escudo Celestial (Dourado)
Celestial Shield (Silver),Escudo Celestial (Prata)
"This shield offers unmatched protection, channeling divine energy to safeguard its bearer.","Este escudo oferece proteção incomparável, canalizando energia divina para proteger seu portador."
Shield of the Divine Sentinel (Gold),Escudo do Sentinela Divino (Ouro)
Shield of the Divine Sentinel (Silver),Escudo do Sentinela Divino (Prata)
"Fortified with sacred power, this shield elevates your defense to divine levels.","Fortificado com poder sagrado, este escudo eleva sua defesa a níveis divinos."
Dragon Shield (Gold),Escudo do Dragão (Dourado)
Dragon Shield (Silver),Escudo de Dragão (Prata)
"With its draconic essence, this shield ensures impressive fortitude and protection.","Com sua essência dracônica, este escudo garante uma fortaleza e proteção impressionantes."
Shield of the Holy Warrior (Gold),Escudo do Guerreiro Sagrado (Ouro)
Shield of the Holy Warrior (Silver),Escudo do Guerreiro Sagrado (Prata)
"Radiating with holiness, this shield offers unparalleled defense against all forms of darkness.","Radiando santidade, este escudo oferece defesa incomparável contra todas as formas de escuridão."
Shield of the Noble Knight (Gold),Escudo do Cavaleiro Nobre (Ouro)
Shield of the Noble Knight (Silver),Escudo do Cavaleiro Nobre (Prata)
"Embodying the spirit of chivalry, this shield delivers exceptional protection in any conflict.","Incorporando o espírito da cavalaria, este escudo oferece proteção excepcional em qualquer conflito."
Shield of the Royal Guard (Gold),Escudo da Guarda Real (Ouro)
Shield of the Royal Guard (Silver),Escudo da Guarda Real (Prata)
"This shield symbolizes loyalty and strength, providing steadfast protection for royal defenders.","Este escudo simboliza lealdade e força, proporcionando proteção firme para defensores reais."
Eternal Beauty (Stone),Beleza Eterna (Pedra)
Eternal Beauty (Bronze),Beleza Eterna (Bronze)
Eternal Beauty (Bloody),Beleza Eterna (Sanguinária)
A grim masterpiece composed of victims of a bloodshed.,Uma obra-prima sombria composta por vítimas de um massacre.
Divine Light,Luz Divina
Blessing of the Divine Sentinel,Bênção do Sentinela Divino
"Aberrations, celestials, elementals, fey, fiends, and undead have <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> against the you, and you can't be Charmed, Frightened, or Possessed by them. Your melee attacks deal extra [1].","Aberrações, celestiais, elementais, fey, demoníacos e mortos-vivos têm <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> contra você, e você não pode ser Encantado, Amedrontado ou Possuído por eles. Seus ataques corpo a corpo causam [1] a mais."
Brave Heart,Coração Valente
"You can't be Frightened and you have an <LSTag Tooltip=""Advantage"">Advantage</LSTag> for all <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>.","Você não pode ficar Amedrontado e tem <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em todos os <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag>."
Noble Heritage,Herança Nobre
"You have <LSTag Tooltip=""Proficiency"">Proficiency</LSTag> in <LSTag Tooltip=""History"">History</LSTag>, <LSTag Tooltip=""Persuasion"">Persuasion</LSTag> and <LSTag Tooltip=""Insight"">Insight</LSTag>. Your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag> is doubled for the respective <LSTag Tooltip=""AbilityCheck"">Checks</LSTag>.","Você tem <LSTag Tooltip=""Proficiency"">Proficiência</LSTag> em <LSTag Tooltip=""History"">História</LSTag>, <LSTag Tooltip=""Persuasion"">Persuasão</LSTag> e <LSTag Tooltip=""Insight"">Intuição</LSTag>. Seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag> é dobrado para os respectivos <LSTag Tooltip=""AbilityCheck"">Testes de Habilidade</LSTag>."
Alacrity,Rapidez
"You immediately restore your <LSTag Tooltip=""Action"">action</LSTag> and <LSTag Tooltip=""Bonus_Action"">bonus action</LSTag> at the start of combat.","Você imediatamente restaura sua <LSTag Tooltip=""Action"">ação</LSTag> e <LSTag Tooltip=""Bonus_Action"">ação bônus</LSTag> no início do combate."
