en,pt-BR
Lilith's Armors,Armaduras de Lilith
Leather Bandages,Bandagens de Couro
Leather Bandages (Short),Ataduras de Couro (Curta)
Assassin Gloves,Luvas do Assassino
Assassin Bracers,Braçadeiras do Assassino
Gloves,Luvas
Footwear,Calçado
Leather Boots,Botas de Couro
Accessories,Acessórios
Round Glasses,Óculos Redondos
Round Glasses (Alt),Óculos Redondos (Alt)
Loviatar Skirt,Saia de Loviatar
Loviatar Shoulderpads,Pauleiras de Loviatar
Loviatar Skirt + Shoulderpads,Saia de Loviatar + Ombreiras
Camp,"&lt;LSTag Type=""Status"" Tooltip=""CAMPING""&gt;Acampamento&lt;/LSTag>"
Camp Outfit A,Conjunto de Acampamento A
Camp Outfit B,Conjunto de Acampamento B
Edgy Robe,Manto Sombrio
Armor,Armadura
Camp Outfit C,Conjunto de Acampamento C
Breezy Leather Armor (reptile),Armadura de Couro Arejada (réptil)
Breezy Leather Armor (damaged),Armadura de Couro Arejada (danificada)
Astral Leather Armor,Armadura de Couro Astral
Demonic Leather Armor,Armadura de Couro Demoníaca
Demonic Leather Armor (Alt),Armadura de Couro Demoníaca (Alt)
Tight Leather Armor,Armadura de Couro Justa
Edgy Leather Armor A,Armadura de Couro Sombria A
Edgy Leather Armor A (sleeveless),Armadura de Couro A (sem mangas)
Edgy Leather Armor B,Armadura de Couro Afiada B
Edgy Leather Armor B (sleeveless),Armadura de Couro Sombria B (sem mangas)
Edgy Monk Armor,Armadura do Monge Sombrio
...,...
