en,pt-BR
"Deal [1] additional damage with <LSTag Tooltip=""MeleeWeaponAttack"">Melee Weapon Attacks</LSTag>, <LSTag Type=""Spell"" Tooltip=""Throw_ImprovisedWeapon"">Improvised Weapons</LSTag>, and when <LSTag Type=""Spell"" Tooltip=""Throw_Throw"">Throwing</LSTag> objects or creatures.","Causa [1] de dano adicional com <LSTag Tooltip=""MeleeWeaponAttack"">Ataques com Armas Corpo a Corpo</LSTag>, <LSTag Type=""Spell"" Tooltip=""Throw_ImprovisedWeapon"">Armas Improvisadas</LSTag>, e ao <LSTag Type=""Spell"" Tooltip=""Throw_Throw"">Arremessar</LSTag> objetos ou criaturas."
"Gain <LSTag Tooltip=""Resistant"">Resistance</LSTag> to all physical damage, and <LSTag Tooltip=""Advantage"">Advantage</LSTag> on <LSTag Tooltip=""Strength"">Strength</LSTag> based <LSTag Tooltip=""AbilityCheck"">Ability Checks</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>.","Ganhe <LSTag Tooltip=""Resistant"">Resistência</LSTag> a todo dano físico e <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em <LSTag Tooltip=""Strength"">Força</LSTag> para <LSTag Tooltip=""AbilityCheck"">Testes de Habilidade</LSTag> e <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag>."
"<LSTag Type=""Image"" Info=""SoftWarning""/> Killing blows and <LSTag Tooltip=""CriticalHit"">Critical Hits</LSTag> will reset the duration of your Rage.","<LSTag Type=""Image"" Info=""SoftWarning""/> Golpes mortais e <LSTag Tooltip=""CriticalHit"">Acertos Críticos</LSTag> irão redefinir a duração da sua Fúria."
"<LSTag Type=""Image"" Info=""SoftWarning""/> Rage blocks the ability to both cast and <LSTag Tooltip=""Concentration"">Concentrate</LSTag> on Spells.","<LSTag Type=""Image"" Info=""SoftWarning""/> Fúria bloqueia a habilidade de lançar e <LSTag Tooltip=""Concentration"">Concentrar-se</LSTag> em Feitiços."
Rage,Fúria
End Rage,Fim da Fúria
"Manually end your <LSTag Type=""Status"" Tooltip=""RAGE"">Rage</LSTag>.","Finalize manualmente sua <LSTag Type=""Status"" Tooltip=""RAGE"">Rage</LSTag>."
"Make all Melee and Throw based <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> with <LSTag Tooltip=""Advantage"">Advantage</LSTag>. However, enemies will also have Advantage when making Attack Rolls against you. This effect can be toggled at any time.","Faça todas as <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> baseadas em Corpo a Corpo e Arremesso com <LSTag Tooltip=""Advantage"">Vantagem</LSTag>. No entanto, os inimigos também terão Vantagem ao fazer Rolagens de Ataque contra você. Esse efeito pode ser ativado ou desativado a qualquer momento."
Reckless Attack,Ataque Temerário
"Affected creature has <LSTag Tooltip=""Advantage"">Advantage</LSTag> on Melee and Throw based <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag>, however enemies also have Advantage when making Attack Rolls against it.","A criatura afetada tem <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> corpo a corpo e com arremesso, no entanto, os inimigos também têm Vantagem ao fazer Rolagens de Ataque contra ela."
