en,pt-BR
Instrument,Instrumento
Performative Intro,Introdução Performática
Affected creatures performance has just begun! All performance related passives are active.,A performance das criaturas afetadas acabou de começar! Todos os passivos relacionados à performance estão ativos.
Performative Verse,Verso Performativo
Affected creatures performance has begun to ramp up! All performance related passives have been enhanced!,O desempenho das criaturas afetadas começou a aumentar! Todos os passivos relacionados ao desempenho foram aprimorados!
Performative Chorus,Coral Performático
Affected creatures performance has reached the best part! All performance related passives have been greatly enhanced!,As criaturas afetadas alcançaram o auge da performance! Todos os passivos relacionados à performance foram grandemente aprimorados!
Encore (Performative Verse),Encore (Verso Performático)
Encore (Performative Chorus),Reprise (Coro Performático)
"Affected creature may use one of their <LSTag Type=""ActionResource"" Tooltip=""BardicInspiration"">Bardic Inspiration</LSTag> in order to resume their performance where they left off. Should they choose to do so, they will regain their charge of Bardic Inspiration after three turns.","A criatura afetada pode usar uma de suas <LSTag Type=""ActionResource"" Tooltip=""BardicInspiration"">Inspiração Bardica</LSTag> para retomar sua performance de onde parou. Se escolher fazer isso, ela recuperará sua carga de Inspiração Bardica após três turnos."
First Note,Primeira Nota
Second Note,Segunda Nota
Third Note,Terceira Nota
Accelerated Tempo,Tempo Acelerado
Enter the next stage of your performance early.,Entre na próxima fase da sua apresentação mais cedo.
Reduced Tempo,Tempo Reduzido
Drop to the previous stage of your performance.,Retorne à etapa anterior de sua performance.
End your Encore.,Termine sua Ovação.
Outro,Outro
Drop to the previous stage of your Encore.,Volte para o estágio anterior do seu Encore.
"End your performance in climactic triumph! The next Spell that you cast will not consume a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","Finalize sua performance em um triunfo climático! O próximo Feitiço que você lançar não consumirá um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag>."
"Affected creature may cast their next Spell without consuming a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","A criatura afetada pode lançar seu próximo feitiço sem consumir um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag>."
"End your performance in climactic triumph! You gain an additional <LSTag Tooltip=""Action"">Action</LSTag>.","Termine sua performance em um triunfo climático! Você ganha uma <LSTag Tooltip=""Action"">ação</LSTag> adicional."
"Affected creature has gained an additional <LSTag Tooltip=""Action"">Action</LSTag>.","A criatura afetada ganhou uma <LSTag Tooltip=""Action"">Ação</LSTag> adicional."
Climax,Clímax
"End your performance in climactic triumph! Provide your <LSTag Type=""ActionResource"" Tooltip=""BardicInspiration"">Bardic Inspiration</LSTag> to all allies within [1].","Termine sua performance em um triunfo climático! Forneça sua <LSTag Type=""ActionResource"" Tooltip=""BardicInspiration"">Inspiração Barda</LSTag> a todos os aliados dentro de [1]."
Bardic Attack,Ataque Bardo
Bardic Defence,Defesa Barda
"Add a +[1] bonus to your <LSTag Tooltip=""SavingThrow"">Saving Throw</LSTag>.","Adicione um bônus de +[1] ao seu <LSTag Tooltip=""SavingThrow"">Teste de Resistência</LSTag>."
Bardic Roll,Rolagem de Bardo
Song of Rest,Canção de Descanso
"Once per <LSTag Tooltip=""LongRest"">Long Rest</LSTag>, provide the benefits of a <LSTag Tooltip=""ShortRest"">Short Rest</LSTag> to yourself and nearby allies.","Uma vez por <LSTag Tooltip=""LongRest"">Descanso Longo</LSTag>, forneça os benefícios de um <LSTag Tooltip=""ShortRest"">Descanso Curto</LSTag> para si mesmo e aliados próximos."
