en,pt-BR
Divine Intervention,Intervenção Divina
Utilized in prayer to divine various types of miracles.,Utilizado em oração para divinar vários tipos de milagres.
Belief and Bestowment,Crença e Doação
"Your god bestows gifts at random, projecting their power through you. Each turn while in combat, you have a 33% chance to receive one charge of <LSTag Type=""ActionResource"" Tooltip=""DivineIntervention"">Divine Intervention</LSTag>.","Seu deus concede presentes ao acaso, projetando seu poder através de você. A cada turno durante o combate, você tem 33% de chance de receber uma carga de <LSTag Type=""ActionResource"" Tooltip=""DivineIntervention"">Intervenção Divina</LSTag>."
Divine Miracles,Milagres Divinos
"Utilize your charge of <LSTag Type=""ActionResource"" Tooltip=""DivineIntervention"">Divine Intervention</LSTag> to produce a Miracle of your choice. Your Miracles grow stronger as you gain levels as a Cleric.","Utilize sua carga de <LSTag Type=""ActionResource"" Tooltip=""DivineIntervention"">Intervenção Divina</LSTag> para produzir um Milagre de sua escolha. Seus Milagres se tornam mais poderosos à medida que você ganha níveis como Clérigo."
Divine Miracles: Arcane Bounty,Milagres Divinos: Riqueza Arcana
"You flow with limitless arcane energy. You recover a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag> of the highest level available based on your levels in Cleric.","Você flui com energia arcana ilimitada. Você recupera um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag> do nível mais alto disponível com base em seus níveis como Clérigo."
Divine Miracles: Deific Wrath,Milagres Divinos: Ira Deífica
"The wrath of your god erupts from within you, bathing all nearby enemies in wanton radiance.","A ira do seu deus eclode de dentro de você, banhando todos os inimigos próximos em uma radiação desenfreada."
Divine Miracles: Holy Restoration,Milagres Divinos: Restauração Sagrada
"Feelings of soothing mercy flow from within, restoring the <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> of all nearby allies.","Sentimentos de misericórdia calmante fluem de dentro, restaurando os <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> de todos os aliados próximos."
Divine Miracles: Wreathed in Radiance,Milagres Divinos: Envolto em Radiação
"You and your allies become wreathed in a divine blessing, causing your <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> to gain a bonus equal to half your levels in Cleric for three turns.","Você e seus aliados ficam envoltos em uma bênção divina, fazendo com que suas <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> ganhem um bônus igual à metade do seu nível em Clérigo por três turnos."
Wreathed in Radiance,Envolto em Radiação
"Affected creature is wreathed in a divine blessing, causing their <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> to gain a bonus equal to half the levels in Cleric of whomever applied this condition.","A criatura afetada está envolta em uma bênção divina, fazendo com que suas <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> ganhem um bônus igual à metade dos níveis em Clérigo de quem aplicou essa condição."
Pacify Undead,Pacificar Morto-Vivo
"Pray for your god to pacify all nearby Undead, holding them still. Attacks made against them from within [1] will always be <LSTag Tooltip=""CriticalHit"">Critical Hits</LSTag>.","Ore ao seu deus para pacificar todos os Mortos-Vivos próximos, imobilizando-os. Ataques feitos contra eles de dentro de [1] serão sempre <LSTag Tooltip=""CriticalHit"">Acertos Críticos</LSTag>."
Pacified,Pacificado
"Affected creature is perfectly still, unable to act. Attacks made against them within [1] are always <LSTag Tooltip=""CriticalHit"">Critical Hits</LSTag>.","A criatura afetada está perfeitamente imóvel, incapaz de agir. Ataques feitos contra ela dentro de [1] são sempre <LSTag Tooltip=""CriticalHit"">Critical Hits</LSTag>."
"You gain the ability to channel divine energy, allowing you to dominate Undead foes and provide boons for your allies. Replenished by <LSTag Tooltip=""ShortRest"">Short</LSTag> or <LSTag Tooltip=""LongRest"">Long Rest</LSTag>.","Você ganha a habilidade de canalizar energia divina, permitindo que você domine inimigos Mortos-vivos e forneça bênçãos para seus aliados. Reabastecido por <LSTag Tooltip=""ShortRest"">Descanso Curto</LSTag> ou <LSTag Tooltip=""LongRest"">Descanso Longo</LSTag>."
Virtuous Touch,Toque Virtuoso
"When healing a creature, the target regains additional <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> equal to your levels in Cleric.","Ao curar uma criatura, o alvo recupera <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> adicionais iguais ao seu nível em Clérigo."
Preserve Life,Preservar Vida
"Evoke a healing radiance which restores your or an allies <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> by your level multiplied by four.","Evocar uma radiação curativa que restaura os <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> seus ou de um aliado pelo seu nível multiplicado por quatro."
Benevolent Grace,Graça Benevolente
"When healing a creature, you also apply <LSTag Type=""Status"" Tooltip=""SHIELD_OF_FAITH"">Shield of Faith</LSTag> for three turns.","Ao curar uma criatura, você também aplica <LSTag Type=""Status"" Tooltip=""SHIELD_OF_FAITH"">Shield of Faith</LSTag> por três turnos."
"When you or an ally recieves elemental damage, you can use your <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reaction</LSTag> to halve the damage of the attack.","Quando você ou um aliado recebe dano elemental, você pode usar sua <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">reação</LSTag> para reduzir pela metade o dano do ataque."
Dampen Elements,Amortecer Elementos
"When you or an ally recieves elemental damage, halve the attack's damage.","Quando você ou um aliado recebe dano elemental, reduza pela metade o dano do ataque."
Sanctity,Santidade
"When healing a creature, you also apply <LSTag Type=""Status"" Tooltip=""RESISTANCE"">Resistance</LSTag> for three turns.","Ao curar uma criatura, você também aplica <LSTag Type=""Status"" Tooltip=""RESISTANCE"">Resistência</LSTag> por três turnos."
Divine Presence,Presença Divina
"<LSTag Type=""Spell"" Tooltip=""Shout_PreserveLife"">Preserve Life</LSTag> is now able to target the corpses of fallen allies. Targeting a dead ally with Preserve Life will resurrect them with all of their <LSTag Tooltip=""HitPoints"">Hit Points</LSTag>.","<LSTag Type=""Spell"" Tooltip=""Shout_PreserveLife"">Preservar Vida</LSTag> agora pode mirar nos corpos de aliados caídos. Mirar em um aliado morto com Preservar Vida o ressuscitará com todos os seus <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag>."
Discharge,Descarga
"When dealing Cold, Lightning or Thunder damage to a creature that is <LSTag Type=""Status"" Tooltip=""WET"">Wet</LSTag>, roll your damage dice with <LSTag Tooltip=""Advantage"">Advantage</LSTag>.","Ao causar dano de Frio, Relâmpago ou Trovão a uma criatura que está <LSTag Type=""Status"" Tooltip=""WET"">Molhada</LSTag>, role seus dados de dano com <LSTag Tooltip=""Advantage"">Vantagem</LSTag>."
"When dealing Cold, Lightning or Thunder damage, you may expend a <LSTag Type=""ActionResource"" Tooltip=""ChannelDivinity"">Channel Divinity</LSTag> charge to deal the maximum damage possible.","Ao causar dano de Frio, Raio ou Trovão, você pode gastar uma carga de <LSTag Type=""ActionResource"" Tooltip=""ChannelDivinity"">Canalizar Divindade</LSTag> para causar o dano máximo possível."
Destructive Wrath,Ira Destrutiva
"When dealing Cold, Lightning or Thunder damage, deal the maximum damage possible.","Ao causar dano de Frio, Raio ou Trovão, cause o dano máximo possível."
Downpour,Chuva Torrencial
"Once per combat encounter, you may cast <LSTag Type=""Spell"" Tooltip=""Target_CreateWater"">Create Water</LSTag> as a third level Spell without expending a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","Uma vez por encontro de combate, você pode lançar <LSTag Type=""Spell"" Tooltip=""Target_CreateWater"">Criar Água</LSTag> como um feitiço de terceiro nível sem gastar um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag>."
Wrath of the Storm,Ira da Tempestade
"As a <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reaction</LSTag>, strike back at a creature who has damaged you within a range of [1], dealing [2] or [3].","Como uma <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">reação</LSTag>, contra-ataque uma criatura que te feriu dentro de um raio de [1], causando [2] ou [3]."
Wrath of the Storm: Lightning,Ira da Tempestade: Relâmpago
"When an enemy damages you within a range of [1], retaliate with a strike of lightning that deals [2].","Quando um inimigo te causar dano dentro de um alcance de [1], retalie com um golpe de relâmpago que causa [2]."
Wrath of the Storm: Thunder,Ira da Tempestade: Trovão
"When an enemy damages you within a range of [1], retaliate with a crash of thunder that deals [2].","Quando um inimigo te causar dano dentro de um alcance de [1], retaliar com um estrondo de trovão que causa [2]."
Wrath of the Storm: Cold,Ira da Tempestade: Frio
"When an enemy damages you within a range of [1], retaliate with a frigid cold that deals [2].","Quando um inimigo te causar dano a uma distância de [1], retalie com um frio gélido que causa [2]."
Storm Strike,Golpe Tempestuoso
"When you deal Cold, Lightning or Thunder damage to a creature that is Large or smaller, you also push it away from where you stand by [1]. This effect can be toggled at any time.","Quando você causar dano de Frio, Relâmpago ou Trovão a uma criatura que seja Grande ou menor, você também a empurra para longe de onde você está por [1]. Esse efeito pode ser ativado a qualquer momento."
Static Shock,Choque Estático
"When you deal Cold, Lightning or Thunder damage, your target must succeed a Constitution based <LSTag Tooltip=""SavingThrow"">Saving Throw</LSTag> or become <LSTag Type=""Status"" Tooltip=""STUNNED"">Stunned</LSTag>.","Quando você causa dano de Frio, Relâmpago ou Trovão, seu alvo deve ter sucesso em um <LSTag Tooltip=""SavingThrow"">Teste de Resistência</LSTag> baseado em Constituição ou se tornar <LSTag Type=""Status"" Tooltip=""STUNNED"">Atordoado</LSTag>."
Radiant Strikes,Golpes Radiantes
"Deal an additional [1] on any successful <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag>.","Causa um adicional de [1] em qualquer <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag> bem-sucedida."
