en,pt-BR
"The number of times you can assume the form of a Wild Shape, or cast Spells as a Dryad.",O número de vezes que você pode assumir a forma de uma Forma Selvagem ou lançar Feitiços como uma Dríade.
Wildshapes,Transformações Selvagens
The connection to nature gives way to serenity.<br>Feel and become as one.,A conexão com a natureza dá lugar à serenidade.<br>Sinta e torne-se um só.
Beastcraft,Crafte de Besta
"As a Druid, you may assume the form of a <LSTag Type=""Spell"" Tooltip=""Shout_WildShape"">Wild Shape</LSTag>. Toggling this passive allows you to Wildshape using either your <LSTag Tooltip=""Action"">Action</LSTag> or <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Bonus Action</LSTag>. This may be toggled at any time.","Como um Druida, você pode assumir a forma de um <LSTag Type=""Spell"" Tooltip=""Shout_WildShape"">Forma Selvagem</LSTag>. Alternar essa passiva permite que você use a Forma Selvagem utilizando sua <LSTag Tooltip=""Action"">Ação</LSTag> ou <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Ação Bônus</LSTag>. Isso pode ser alternado a qualquer momento."
Wild Strike,Golpe Selvagem
"Once per turn, while assuming the form of a <LSTag Type=""Spell"" Tooltip=""Shout_WildShape"">Wild Shape</LSTag> and after having made an unarmed or weapon based <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag> with your main hand, you may make an additional attack for free.","Uma vez por turno, ao assumir a forma de um <LSTag Type=""Spell"" Tooltip=""Shout_WildShape"">Forma Selvagem</LSTag> e após ter feito uma <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag> desarmada ou baseada em arma com sua mão principal, você pode fazer um ataque adicional gratuitamente."
Return to Form,Retornar à Forma
"At the end of combat, immediately return to your natural form and refund one <LSTag Type=""ActionResource"" Tooltip=""WildShape"">Wild Shape</LSTag> charge. This can be toggled at any time.","Ao final do combate, retorne imediatamente à sua forma natural e reembolse uma carga de <LSTag Type=""ActionResource"" Tooltip=""WildShape"">Forma Selvagem</LSTag>. Isso pode ser ativado a qualquer momento."
DRUIDCOMPANION,COMPANHEIRO DRUIDA
DRUIDCOMPANIONTAGFORDRUIDOVERHAUL,TAGCOMPANHEIRODRUIDA PARA REFORMULAÇÃO DO DRUIDA
Druidic Bond,Vínculo Druídico
"A bond between you and your Dryad has taken root. Their stats increase for each of your Druid levels.<br><br>In addition, your Dryad will gain various passive effects depending on the passives that you receive while leveling.","Um vínculo entre você e sua Dríade foi estabelecido. As estatísticas dela aumentam a cada nível que você sobe como Druida.<br><br>Além disso, sua Dríade ganhará vários efeitos passivos dependendo dos passivos que você receber ao subir de nível."
"<LSTag Type=""Image"" Info=""SoftWarning""/> As a Dryad, your Spells are fueled by nature. As such, casting requires a <LSTag Type=""ActionResource"" Tooltip=""WildShape"">Wild Shape</LSTag> charge, rather than a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","<LSTag Type=""Image"" Info=""SoftWarning""/> Como uma Dríade, seus Feitiços são alimentados pela natureza. Assim, lançar feitiços requer uma carga de <LSTag Type=""ActionResource"" Tooltip=""WildShape"">Forma Selvagem</LSTag>, em vez de um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag>."
Druidic Bonds,Laços Druídicos
Affected creature is benefiting from one or more passives provided by its summoning Druid.,A criatura afetada está se beneficiando de um ou mais passivos fornecidos pelo seu Druida convocador.
Sylvan Empowerment,Aprimoramento Silvestre
"Your melee weapon becomes magical, utilizing your <LSTag Tooltip=""SpellcastingAbilityModifier"">Spellcasting Ability</LSTag> for <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> and damage.","Sua arma corpo a corpo se torna mágica, utilizando seu <LSTag Tooltip=""SpellcastingAbilityModifier"">Modificador de Habilidade de Magia</LSTag> para <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> e dano."
"A beam of brilliant, blinding light sears all creatures in its path. You may then unleash a second beam without expending a <LSTag Type=""ActionResource"" Tooltip=""WildShape"">Wild Shape</LSTag> charge.","Um feixe de luz brilhante e ofuscante queima todas as criaturas em seu caminho. Você pode então liberar um segundo feixe sem gastar uma carga de <LSTag Type=""ActionResource"" Tooltip=""WildShape"">Forma Selvagem</LSTag>."
Conjure Dryad,"Sofrerá dano de Ácido ou Fogo e não irá <LSTag Type=""Status"" Tooltip=""LESSER_REGENERATE"">regenerar</LSTag> no início do seu próximo turno."
Summon a woodland Dryad. The Dryad grows in strength alongside you as you level.,Convoque uma Dríade da floresta. A Dríade cresce em força junto com você à medida que você sobe de nível.
"Creatures that you damage must succeed a Strength based <LSTag Tooltip=""SavingThrow"">Saving Throw</LSTag> or become <LSTag Type=""Status"" Tooltip=""ENSNARED_VINES"">Entangled</LSTag>. Additionally, your <LSTag Type=""Spell"" Tooltip=""Target_ConjureDryad"">Dryad</LSTag> may cast <LSTag Type=""Spell"" Tooltip=""Target_ThornWhip"">Thorn Whip</LSTag> and <LSTag Type=""Spell"" Tooltip=""Target_HealingWord"">Healing Word</LSTag>.","Criaturas que você danificar devem ter sucesso em um <LSTag Tooltip=""Teste de Resistência"">Teste de Resistência</LSTag> baseado em Força ou se tornar <LSTag Type=""Status"" Tooltip=""ENSNARED_VINES"">Enredado</LSTag>. Além disso, sua <LSTag Type=""Spell"" Tooltip=""Target_ConjureDryad"">Dríade</LSTag> pode lançar <LSTag Type=""Spell"" Tooltip=""Target_ThornWhip"">Chicote de Espinhos</LSTag> e <LSTag Type=""Spell"" Tooltip=""Target_HealingWord"">Palavra Curativa</LSTag>."
Ensnaring Presence,Presença Enredadora
