en,pt-BR
"Learn two manoeuvres and gain a <LSTag Type=""ActionResource"" Tooltip=""SuperiorityDie"">Superiority Die</LSTag> to fuel them. You regain expended Superiority Dice after a <LSTag Tooltip=""ShortRest"">Short</LSTag> or <LSTag Tooltip=""LongRest"">Long Rest</LSTag>.","Aprenda duas manobras e ganhe um <LSTag Type=""ActionResource"" Tooltip=""SuperiorityDie"">Dado de Superioridade</LSTag> para alimentá-las. Você recupera os Dados de Superioridade gastos após um <LSTag Tooltip=""ShortRest"">Descanso Curto</LSTag> ou <LSTag Tooltip=""LongRest"">Descanso Longo</LSTag>."
"Superiority dice are spent to empower manoeuvres, improving efficiency in combat.","Dados de superioridade são gastos para potencializar manobras, melhorando a eficiência em combate."
Frontier Knight,Cavaleiro da Fronteira
"Frontier Knights are paragons of tactical superiority, combining combat manoeuvres and experience in the field to dominate every fight.","Os Cavaleiros da Fronteira são exemplos de superioridade tática, combinando manobras de combate e experiência em campo para dominar cada luta."
"Your Superiority Dice are d12s. They fuel your manoeuvres and are expended upon use. You regain expended Superiority Dice after a <LSTag Tooltip=""ShortRest"">Short</LSTag> or <LSTag Tooltip=""LongRest"">Long Rest</LSTag>.","Seus Dados de Superioridade são d12. Eles alimentam suas manobras e são consumidos ao serem usados. Você recupera os Dados de Superioridade gastos após um <LSTag Tooltip=""ShortRest"">Descanso Curto</LSTag> ou <LSTag Tooltip=""LongRest"">Descanso Longo</LSTag>."
"This hammer's magical powers only function if it is a Warlock's <LSTag Type=""Status"" Tooltip=""PACT_BLADE"">Pact Weapon</LSTag>.","Os poderes mágicos deste martelo só funcionam se ele for uma <LSTag Type=""Status"" Tooltip=""PACT_BLADE"">Arma de Pacto</LSTag> de um Bruxo."
"This blade's magical powers only function if it is a Warlock's <LSTag Type=""Status"" Tooltip=""PACT_BLADE"">Pact Weapon</LSTag>.","Os poderes mágicos desta lâmina funcionam apenas se ela for uma <LSTag Type=""Status"" Tooltip=""PACT_BLADE"">Arma Pactual</LSTag> de um Bruxo."
"This weapon was wielded by the lionlike Eldritch Knight Cypress of the Starfeller clan, who took on challenges of the heart and mind with palpable brilliance, and fought with a skill and heated intensity that was almost solar. ","Esta arma foi empunhada pelo Cavaleiro Eldritch semelhante a um leão, Cypress do clã Starfeller, que enfrentou desafios do coração e da mente com uma brilhante intensidade palpável, e lutou com uma habilidade e uma intensidade ardente que era quase solar."
Manoeuvres,Manobras
"Manoeuvres are powerful attacks that utilize your <LSTag Type=""ActionResource"" Tooltip=""SuperiorityDie"">Superiority Dice</LSTag>.","Manobras são ataques poderosos que utilizam seus <LSTag Type=""ActionResource"" Tooltip=""SuperiorityDie"">Dados de Superioridade</LSTag>."
