en,pt-BR
"Cantrips are weaker than Spells, though they do not consume <LSTag Tooltip=""SpellSlot"">Spell Slots</LSTag> when cast.","Cantrips são mais fracos do que Feitiços, embora não consumam <LSTag Tooltip=""SpellSlot"">Espaços de Feitiço</LSTag> quando lançados."
Counter Action,Ação de Contra-ataque
"<LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reactions</LSTag> which act as offensive counter actions utilize this resource in order to function properly.","<LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reações</LSTag> que atuam como ações de contra-ataque ofensivas utilizam esse recurso para funcionar corretamente."
"Spells are stronger than Cantrips, though they require <LSTag Tooltip=""SpellSlot"">Spell Slots</LSTag> in order to cast.<Br><br>You may select any Spell at levels 3, 7, and 11.","Feitiços são mais poderosos do que Cantrips, embora exijam <LSTag Tooltip=""SpellSlot"">Espaços de Feitiço</LSTag> para serem lançados.<Br><br>Você pode selecionar qualquer Feitiço nos níveis 3, 7 e 11."
"Cantrips are weaker than Spells, though they do not consume <LSTag Tooltip=""SpellSlot"">Spell Slots</LSTag> when cast.<Br><br>As a Bard, you may select any Cantrip.","Cantrips são mais fracos que Feitiços, embora não consumam <LSTag Tooltip=""SpellSlot"">Espaços de Feitiço</LSTag> quando lançados.<Br><br>Como um Bardo, você pode selecionar qualquer Cantrip."
"Spells are stronger than Cantrips, though they require <LSTag Tooltip=""SpellSlot"">Spell Slots</LSTag> in order to cast.<Br><br>As a Bard, you may select any Spell.","Feitiços são mais poderosos do que Cantrips, embora exijam <LSTag Tooltip=""SpellSlot"">Espaços de Feitiço</LSTag> para serem lançados.<Br><br>Como um Bardo, você pode selecionar qualquer Feitiço."
Cantrips,Truques
"Cantrips are weaker than Spells, though they do not consume <LSTag Tooltip=""SpellSlot"">Spell Slots</LSTag> when cast.<Br><br>Under the Way of the Arcane, you may select any Cantrip.","Cantrips são mais fracos que Feitiços, embora não consumam <LSTag Tooltip=""SpellSlot"">Espaços de Feitiço</LSTag> quando lançados.<Br><br>Sob o Caminho do Arcano, você pode selecionar qualquer Cantrip."
Spells,Feitiços
"Spells are stronger than Cantrips, though they require <LSTag Tooltip=""SpellSlot"">Spell Slots</LSTag> in order to cast.<Br><br>Under the Way of the Arcane, you may select any Spell.","Feitiços são mais fortes do que Cantrips, embora exijam <LSTag Tooltip=""SpellSlot"">Espaços de Feitiço</LSTag> para serem lançados.<Br><br>Sob o Caminho do Arcano, você pode selecionar qualquer Feitiço."
Martial Proficiency,Proficiência Marcial
