en,pt-BR
Martial Arts,Artes Marciais
"Attacks with <LSTag Tooltip=""MonkWeapon"">Monk Weapons</LSTag> and unarmed attacks deal [1], unless their normal damage is higher. The damage of these attacks may scale with either your <LSTag Tooltip=""Strength"">Strength</LSTag> or your <LSTag Tooltip=""Dexterity"">Dexterity</LSTag>. Additionally, you are able to make an additional unarmed strike as a <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Bonus Action</LSTag>.","Ataques com <LSTag Tooltip=""MonkWeapon"">Armas de Monge</LSTag> e ataques desarmados causam [1], a menos que seu dano normal seja maior. O dano desses ataques pode escalar com sua <LSTag Tooltip=""Strength"">Força</LSTag> ou sua <LSTag Tooltip=""Dexterity"">Destreza</LSTag>. Além disso, você pode fazer um ataque desarmado adicional como uma <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Ação Bônus</LSTag>."
Unarmed Strike,Golpe Desarmado
Swiftly strike an enemy.,Golpe Rápido em um inimigo.
Flurry of Blows,Rajada de Golpes
Punch twice in rapid succession.,Dê dois socos em rápida sucessão.
Martial Flux,Fluxo Marcial
"Gain an additional <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Bonus Action</LSTag>.","Ganhe uma <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Ação Bônus</LSTag> adicional."
Martial Mastery,Domínio Marcial
"Gain an additional <LSTag Tooltip=""Action"">Action</LSTag>.","Ganhe uma <LSTag Tooltip=""Action"">Ação</LSTag> adicional."
Way of the Arcane,Caminho do Arcano
"This spell uses your <LSTag Tooltip=""Strength"">Strength</LSTag> or <LSTag Tooltip=""Dexterity"">Dexterity</LSTag> for <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag>, depending on which is higher.","Este feitiço usa sua <LSTag Tooltip=""Força"">Força</LSTag> ou <LSTag Tooltip=""Destreza"">Destreza</LSTag> para <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag>, dependendo de qual é maior."
"During combat, you can utilize your <LSTag Type=""ActionResource"" Tooltip=""KiPoint"">Ki Points</LSTag> to cast Spells, rather than <LSTag Tooltip=""SpellSlot"">Spell Slots</LSTag>. The cost of a Spell is equal to one Ki Point per level of the Spell that you cast. This can be toggled at any time.","Durante o combate, você pode utilizar seus <LSTag Type=""ActionResource"" Tooltip=""KiPoint"">Pontos de Ki</LSTag> para lançar Feitiços, em vez de <LSTag Tooltip=""SpellSlot"">Slots de Feitiço</LSTag>. O custo de um Feitiço é igual a um Ponto de Ki por nível do Feitiço que você lança. Isso pode ser ativado a qualquer momento."
Flow State,Estado de Fluxo
"Affected creature can utilize their <LSTag Type=""ActionResource"" Tooltip=""KiPoint"">Ki Points</LSTag> to cast Spells.","A criatura afetada pode utilizar seus <LSTag Type=""ActionResource"" Tooltip=""KiPoint"">Pontos de Ki</LSTag> para lançar feitiços."
Essence of the Elements,Essência dos Elementos
"Gain <LSTag Type=""Spell"" Tooltip=""Projectile_FangsOfTheFireSnake"">Fangs of the Fire Snake</LSTag>, <LSTag Type=""Spell"" Tooltip=""Target_FistOfUnbrokenAir"">Fist of Unbroken Air</LSTag>, <LSTag Type=""Spell"" Tooltip=""Target_ShapeTheFlowingRiver_IceBlock"">Ice Block</LSTag>, and <LSTag Type=""Spell"" Tooltip=""Target_WaterWhip"">Water Whip</LSTag>.","Ganhe <LSTag Type=""Spell"" Tooltip=""Projectile_FangsOfTheFireSnake"">Presas da Serpente de Fogo</LSTag>, <LSTag Type=""Spell"" Tooltip=""Target_FistOfUnbrokenAir"">Punho do Ar Inquebrável</LSTag>, <LSTag Type=""Spell"" Tooltip=""Target_ShapeTheFlowingRiver_IceBlock"">Bloco de Gelo</LSTag>, e <LSTag Type=""Spell"" Tooltip=""Target_WaterWhip"">Chicote de Água</LSTag>."
Conjure a flaming projectile and strike your foe from afar. Your next melee attacks deal an additional [1].,Conjure um projétil flamejante e atinja seu inimigo à distância. Seus próximos ataques corpo a corpo causam [1] a mais.
Fangs of the Fire Snake,Presas da Cobra de Fogo
Affected creatures fists are flickering with flame. Its melee attacks deal an additional [1].,Os punhos das criaturas afetadas estão piscando com chamas. Seus ataques corpo a corpo causam [1] a mais.
Fist of Unbroken Air,Punho do Ar Inquebrantável
