en,pt-BR
Break Oath,Quebrar Juramento
"A Paladin's oath is a sacred, binding vow. Their power a manifestation of their devotion to a just cause. To rescind one's oath would be utterly unconscionable...right?",Um juramento de Paladino é um voto sagrado e vinculativo. Seu poder é uma manifestação de sua devoção a uma causa justa. Revogar um juramento seria completamente inconcebível... certo?
This action will have grave consequences.,Esta ação terá graves consequências.
Oaths emboldened lay bare the path to preserve one's ideals.<br>A hammer of dawn to fall upon those deserving.,Os votos fortalecidos expõem o caminho para preservar os próprios ideais.<br>Um martelo da aurora a cair sobre aqueles que merecem.
Crusaders Smite,Golpe do Cruzado
How many times you may channel the strength of your resolve into a relentless Smite.,Quantas vezes você pode canalizar a força de sua determinação em um Golpe Implacável.
Smites,Golpes Sagrados
Lay waste to your enemies.<br>Lay bare your conviction.,Destrua seus inimigos.<br>Revele sua convicção.
Divine Crusader,Cruzado Divino
"Gain <LSTag Type=""Spell"" Tooltip=""CTarget_Smite_Divine"">Divine Smite</LSTag>.","Ganhe <LSTag Type=""Spell"" Tooltip=""CTarget_Smite_Divine"">Golpe Divino</LSTag>."
Divine Smite,Golpe Divino
"Smite your target with divine fury. This action always rolls with <LSTag Tooltip=""Advantage"">Advantage</LSTag>. Upon damaging a target, further <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> made against the target are rolled with Advantage as well.","Desferir um golpe em seu alvo com fúria divina. Esta ação sempre rola com <LSTag Tooltip=""Advantage"">Vantagem</LSTag>. Ao causar dano a um alvo, futuras <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> feitas contra o alvo também são roladas com Vantagem."
"Affected creature has been marked by a Paladin. <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> made against this creature roll with <LSTag Tooltip=""Advantage"">Advantage</LSTag>.","A criatura afetada foi marcada por um Paladino. <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> feitas contra esta criatura têm <LSTag Tooltip=""Advantage"">Vantagem</LSTag>."
Oath Broken,Juramento Quebrado
"Gain <LSTag Type=""Spell"" Tooltip=""CTarget_Smite_Oathbroken"">Oathbroken Smite</LSTag>.","Ganhe <LSTag Type=""Spell"" Tooltip=""CTarget_Smite_Oathbroken"">Oathbroken Smite</LSTag>."
Oathbroken Smite,Golpe Quebrado pelo Juramento
"Bend the will of your target with necrotic wrath. This action always rolls with <LSTag Tooltip=""Advantage"">Advantage</LSTag>. Upon damaging a target, they become <LSTag Type=""Status"" Tooltip=""UNHOLY_SUBJUGATION"">Subjugated</LSTag> during their next turn. You may only Subjugate one creature at a time.","Dobre a vontade do seu alvo com a ira necromântica. Esta ação sempre rola com <LSTag Tooltip=""Advantage"">Vantagem</LSTag>. Ao causar dano a um alvo, ele se torna <LSTag Type=""Status"" Tooltip=""UNHOLY_SUBJUGATION"">Subjugado</LSTag> durante seu próximo turno. Você só pode subjugar uma criatura por vez."
Oathbroken Subjugation,Subjugação Quebrada pelo Juramento
"Affected creature will follow and fight alongside the Paladin who subjugated them.<br><br>If damaged by the Paladin or their allies, the subjugated creature will break free from the Paladin's control.","A criatura afetada seguirá e lutará ao lado do Paladino que a subjugou.<br><br>Se sofrer dano do Paladino ou de seus aliados, a criatura subjugada se libertará do controle do Paladino."
