en,pt-BR
RANGERCOMPANION,COMPANHEIRO RANGER
RANGERCOMPANIONTAGFORRANGEROVERHAUL,TAGCOMPANHEIRO PATRULHEIRO PARA REFORMULAÇÃO DO PATRULHEIRO
"The bond between you and your Ranger Companion is unbreakable. Their stats increase for each of your Ranger levels.<br><br>In addition, your Ranger Companion will gain various passive effects depending on the passives that you receive while leveling.","O vínculo entre você e seu Companheiro Ranger é inquebrável. As estatísticas dele aumentam a cada nível que você sobe como Ranger.<br><br>Além disso, seu Companheiro Ranger ganhará vários efeitos passivos dependendo dos passivos que você receber ao subir de nível."
Ranger's Companion,Companheiro do Ranger
Conjure Rangers Companion,Conjurar Companheiro Ranger
Summon a beast companion of your choice. Your companion grows in strength alongside you as you level.,Convoque um companheiro bestial de sua escolha. Seu companheiro cresce em força junto com você à medida que você sobe de nível.
"Affected creatures stats increase for every level of its summoning Ranger.<br><br>In addition, it gains various passive effects depending on the passives that its Ranger possesses.","As estatísticas das criaturas afetadas aumentam a cada nível de seu Ranger convocador.<br><br>Além disso, elas ganham vários efeitos passivos dependendo dos passivos que seu Ranger possui."
Natural Focus,Foco Natural
The number of times you can utilize your unique skills as a Ranger.,O número de vezes que você pode utilizar suas habilidades únicas como Ranger.
Natural Movement,Movimento Natural
"Gain the ability to <LSTag Type=""Spell"" Tooltip=""Shout_Dash"">Dash</LSTag>, <LSTag Type=""Spell"" Tooltip=""Shout_Disengage"">Disengage</LSTag>, and <LSTag Type=""Spell"" Tooltip=""Shout_Hide"">Hide</LSTag> using your <LSTag Type=""ActionResource"" Tooltip=""NaturalRecoveryPoint"">Natural Focus</LSTag>. This effect can be toggled at any time.","Ganhe a habilidade de <LSTag Type=""Spell"" Tooltip=""Shout_Dash"">Corrida</LSTag>, <LSTag Type=""Spell"" Tooltip=""Shout_Disengage"">Desengajar</LSTag> e <LSTag Type=""Spell"" Tooltip=""Shout_Hide"">Esconder</LSTag> utilizando seu <LSTag Type=""ActionResource"" Tooltip=""NaturalRecoveryPoint"">Foco Natural</LSTag>. Esse efeito pode ser alternado a qualquer momento."
Bear Companion,Companheiro Urso
"Summon a bear that can endure heavy attacks and draw the enemy's attention with its <LSTag Type=""Spell"" Tooltip=""Shout_GoadingRoar_Bear_Summon"">Goading Roar</LSTag>.","Convocar um urso que pode suportar ataques pesados e chamar a atenção do inimigo com seu <LSTag Type=""Spell"" Tooltip=""Shout_GoadingRoar_Bear_Summon"">Rugido Provocador</LSTag>."
Fierce Paws,Patas Ferozes
"Lash out with fierce paws and potentially <LSTag Type=""Status"" Tooltip=""DISARMED"">Disarm</LSTag> your target. If it isn't holding any weapons, it potentially falls <LSTag Type=""Status"" Tooltip=""PRONE"">Prone</LSTag> instead.","Ataque com patas ferozes e potencialmente <LSTag Type=""Status"" Tooltip=""DISARMED"">Desarme</LSTag> seu alvo. Se ele não estiver segurando nenhuma arma, ele potencialmente cai <LSTag Type=""Status"" Tooltip=""PRONE"">Amedrontado</LSTag> em vez disso."
Ursine Devastation,Devastação Ursina
"Pounce upon your targets, possibly inflicting <LSTag Type=""Status"" Tooltip=""PRONE"">Prone</LSTag> on any enemies caught under your weight.","Salte sobre seus alvos, possivelmente infligindo <LSTag Type=""Status"" Tooltip=""PRONE"">Prone</LSTag> em qualquer inimigo que ficar sob seu peso."
Dilophosaurus Companion,Companheiro Dilofossauro
"Summon a dilophosaurus that can <LSTag Type=""Spell"" Tooltip=""Projectile_CorrosiveSpit_Dilophosaurus"">Spew Acid</LSTag> at its enemies.","Convoque um dilofossauro que pode <LSTag Type=""Spell"" Tooltip=""Projectile_CorrosiveSpit_Dilophosaurus"">Expel Ácido</LSTag> em seus inimigos."
Pounce,Salto
"Pounce at an enemy, lashing it with your claws.","Atire-se em um inimigo, golpeando-o com suas garras."
Disarming Bite,Mordida Desarmante
"Clamp your jaws down tight on a creatures arm, potentially <LSTag Type=""Status"" Tooltip=""DISARMED"">Disarming</LSTag> them.","Morda com força o braço de uma criatura, potencialmente <LSTag Type=""Status"" Tooltip=""DISARMED"">Desarmando</LSTag>-a."
Dire Raven Companion,Corvo Sombrio Companheiro
"Summon a dire raven that can fly and <LSTag Type=""Spell"" Tooltip=""Target_RendVision_Raven_Summon"">Blind</LSTag> its enemies.","Convoque um corvo aterrador que pode voar e <LSTag Type=""Spell"" Tooltip=""Target_RendVision_Raven_Summon"">Cegar</LSTag> seus inimigos."
Dire Wolf Companion,Lobo Dire Companheiro
"Summon a wolf that can inflict devastating wounds and rally the party to move forward with its <LSTag Type=""Spell"" Tooltip=""Shout_PackHowl_Wolf_Dire"">Howl</LSTag>.","Convoque um lobo que pode infligir feridas devastadoras e reunir o grupo para avançar com seu <LSTag Type=""Spell"" Tooltip=""Shout_PackHowl_Wolf_Dire"">Uivo</LSTag>."
Howl of the Pack,Uivo da Matilha
Summon an additional Wolf to help you in combat.,Convoque um Lobo adicional para te ajudar em combate.
Giant Spider Companion,Companheiro Aranha Gigante
"Summon a giant spider that can shoot <LSTag Type=""Spell"" Tooltip=""Target_Web_Spider_Summon"">Webs</LSTag> and <LSTag Type=""Status"" Tooltip=""POISONED"">Poison</LSTag> enemies with its <LSTag Type=""Spell"" Tooltip=""Target_Bite_GiantSpider_Wildshape"">Bite</LSTag>.","Convoque uma aranha gigante que pode disparar <LSTag Type=""Spell"" Tooltip=""Target_Web_Spider_Summon"">Teias</LSTag> e <LSTag Type=""Status"" Tooltip=""POISONED"">Envenenar</LSTag> inimigos com sua <LSTag Type=""Spell"" Tooltip=""Target_Bite_GiantSpider_Wildshape"">Mordida</LSTag>."
Eagle Eyed,Coração de Águia
"When dealing damage, you ignore all forms of physical <LSTag Tooltip=""Resistant"">Resistances</LSTag>.","Ao causar dano, você ignora todas as <LSTag Tooltip=""Resistant"">Resistências</LSTag> físicas."
Natural Marksman,Atirador Natural
"When you deal damage with a weapon, you have a chance to leave the target <LSTag Type=""Status"" Tooltip=""CRIPPLED"">Crippled</LSTag>.","Ao causar dano com uma arma, você tem a chance de deixar o alvo <LSTag Type=""Status"" Tooltip=""CRIPPLED"">Crippled</LSTag>."
Gain the ability to target two creatures standing within [1] of each other.,Ganhe a habilidade de mirar em duas criaturas que estão a [1] de distância uma da outra.
Horde Breaker (Melee),Quebra-Horda (Corpo a Corpo)
Horde Breaker (Ranged),Quebra-Horda (À Distância)
"Target two creatures standing close to each other. Attack the first creature and then gain the ability to make an additional <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag> against the second as a free action.","Alvo duas criaturas próximas uma da outra. Ataque a primeira criatura e, em seguida, ganhe a habilidade de fazer uma <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag> adicional contra a segunda como uma ação gratuita."
Horde Breaker,Quebra-Horda
"Affected creature is open to an additional, free attack from the Ranger who applied this status.",A criatura afetada está aberta a um ataque adicional e gratuito do Ranger que aplicou este status.
Marksman's Eye,Olho do Atirador
"<LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> made against <LSTag Type=""Status"" Tooltip=""CRIPPLED"">Crippled</LSTag> targets are rolled with <LSTag Tooltip=""Advantage"">Advantage</LSTag>.","<LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> feitas contra alvos <LSTag Type=""Status"" Tooltip=""CRIPPLED"">Aleijados</LSTag> são roladas com <LSTag Tooltip=""Advantage"">Vantagem</LSTag>."
Volley,Golpe do Zéfiro
"Loose a volley of arrows within an area, making separate <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> against each target. ","Dispare uma salva de flechas em uma área, fazendo <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> separadas contra cada alvo."
Whirlwind,Furacão
"Strike out at all nearby foes, making separate <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> against each target. ","Ataque todos os inimigos próximos, fazendo <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> separadas contra cada alvo."
Marksman's Skill,Habilidade do Atirador
"Damage is rolled against <LSTag Type=""Status"" Tooltip=""CRIPPLED"">Crippled</LSTag> targets with <LSTag Tooltip=""Advantage"">Advantage</LSTag>.","O dano é rolado contra alvos <LSTag Type=""Status"" Tooltip=""CRIPPLED"">Aleijados</LSTag> com <LSTag Tooltip=""Advantage"">Vantagem</LSTag>."
"While wielding a Ranged weapon, when an enemy makes an <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag> against an ally within [1], you may spend your <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reaction</LSTag> in order to make a <LSTag Tooltip=""RangedWeaponAttack"">Ranged Weapon Attack</LSTag> against them.","Enquanto empunha uma arma à distância, quando um inimigo faz uma <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag> contra um aliado dentro de [1], você pode gastar sua <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">reação</LSTag> para fazer um <LSTag Tooltip=""RangedWeaponAttack"">Ataque à Distância</LSTag> contra ele."
Opportune Shot,Disparo Oportuno
"While wielding a Ranged weapon, when an enemy makes an <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag> against an ally within [1], make a <LSTag Tooltip=""RangedWeaponAttack"">Ranged Weapon Attack</LSTag> against them.","Enquanto empunha uma arma de longo alcance, quando um inimigo faz uma <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag> contra um aliado dentro de [1], faça uma <LSTag Tooltip=""RangedWeaponAttack"">Rolagem de Ataque à Distância</LSTag> contra ele."
Gloomstalker's Initiative,Iniciativa do Caçador das Sombras
"Gain a +[1] bonus to Initiative. In addition, you are able to see in the dark up to [2].","Ganha um bônus de +[1] em Iniciativa. Além disso, você consegue ver no escuro até [2]."
"Once per combat, you may make a weapon attack which will always roll as a <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag>.","Uma vez por combate, você pode fazer um ataque com arma que sempre rolará como um <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag>."
Dread Shot,Tiro Aterrorizante
"Affected creature can make a weapon attack which guarantees a <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag>.","A criatura afetada pode fazer um ataque com arma que garante um <LSTag Tooltip=""CriticalHit"">Acerto Crítico</LSTag>."
Dread Shot (Melee),Golpe Aterrorizante (Corpo a Corpo)
Dread Shot (Ranged),Disparo Aterrorizante (À Distância)
"Ambush a target with an additional swift and precise weapon attack. This attack will always roll as a <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag>.","Embosque um alvo com um ataque de arma adicional rápido e preciso. Este ataque sempre rolará como um <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag>."
