en,pt-BR
Sneak Attacks,Ataques Furtivos
"The remaining amount of times that you may utilize your <LSTag Type=""Spell"" Tooltip=""Target_SneakAttack"">Sneak Attack</LSTag> this turn.","A quantidade restante de vezes que você pode utilizar seu <LSTag Type=""Spell"" Tooltip=""Target_SneakAttack"">Ataque Furtivo</LSTag> neste turno."
Alert,Alerta
"<LSTag Type=""Spell"" Tooltip=""Target_SneakAttack"">Sneak Attack</LSTag> will not activate when attacking this creature until they have started their next turn.","<O LSTag Type=""Spell"" Tooltip=""Target_SneakAttack"">Ataque Furtivo</LSTag> não ativará ao atacar esta criatura até que ela tenha iniciado seu próximo turno."
Sneak Attack,Ataque Furtivo
"Deal an extra [1] damage to a creature you have <LSTag Tooltip=""Advantage"">Advantage</LSTag> against while wielding a <LSTag Tooltip=""Finesse"">Finesse Weapon</LSTag>.","Causa [1] de dano extra a uma criatura contra a qual você tem <LSTag Tooltip=""Advantage"">Vantagem</LSTag> enquanto empunha uma <LSTag Tooltip=""Finesse"">Arma de Finesse</LSTag>."
"You can also Sneak Attack creatures <LSTag Type=""Status"" Tooltip=""FLANKED"">Threatened</LSTag> by adjacent allies provided you aren't attacking with <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag>.","Você também pode Atacar pelas Costas criaturas <LSTag Type=""Status"" Tooltip=""FLANKED"">Ameaçadas</LSTag> por aliados adjacentes, desde que você não esteja atacando com <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag>."
Lucky Odds: Ability Checks,Odds Favoráveis: Testes de Habilidade
"Spend one of your Lucky dice to gain <LSTag Tooltip=""Advantage"">Advantage</LSTag> on your next <LSTag Tooltip=""AbilityCheck"">Ability Check</LSTag>. This effect can be toggled at any time.","Gaste um dos seus dados da Sorte para ganhar <LSTag Tooltip=""Advantage"">Vantagem</LSTag> no seu próximo <LSTag Tooltip=""AbilityCheck"">Teste de Habilidade</LSTag>. Esse efeito pode ser ativado a qualquer momento."
Lucky Odds: Attack Rolls,Odds Favoráveis: Rolagem de Ataque
