en,pt-BR
"Sorcery Points are an important facet of a Sorcerer's power. They can be spent to augment Spells in unique and powerful ways, or converted to be used as fuel for Spell Slots. You may have up to 24 Sorcery Points at any given time.","Pontos de Feitiçaria são uma faceta importante do poder de um Feiticeiro. Eles podem ser gastos para aumentar Feitiços de maneiras únicas e poderosas, ou convertidos para serem usados como combustível para Slots de Feitiço. Você pode ter até 24 Pontos de Feitiçaria a qualquer momento."
Sorcery Points can be used to augment Spells in unique and powerful ways. You may have up to 24 Sorcery Points at any given time.,Pontos de Feitiçaria podem ser usados para aumentar Feitiços de maneiras únicas e poderosas. Você pode ter até 24 Pontos de Feitiçaria a qualquer momento.
Creationary,Criativo
"Gain the ability to convert <LSTag Tooltip=""SpellSlot"">Spell Slots</LSTag> into <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Sorcery Points</LSTag> and vice versa.<br><br>When converting Sorcery Points into Spell Slots, you may create Spell Slots up to one level higher than what you can normally cast, up to the sixth level.<br><br>Additionally, you cannot create more than twice the amount of Spell Slots that you would normally have available for any given level.","Ganhe a habilidade de converter <LSTag Tooltip=""SpellSlot"">Slots de Feitiço</LSTag> em <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Pontos de Feitiçaria</LSTag> e vice-versa.<br><br>Ao converter Pontos de Feitiçaria em Slots de Feitiço, você pode criar Slots de Feitiço até um nível acima do que você pode normalmente lançar, até o sexto nível.<br><br>Além disso, você não pode criar mais do que o dobro da quantidade de Slots de Feitiço que você normalmente teria disponíveis para qualquer nível específico."
Sorcery Channeling,Canalização de Feitiçaria
"Spend <LSTag Tooltip=""SpellSlot"">Spell Slots</LSTag> to gain <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Sorcery Points</LSTag>. You may have up to 24 Sorcery Points at any given time.","Gaste <LSTag Tooltip=""SpellSlot"">Slots de Feitiço</LSTag> para ganhar <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Pontos de Feitiçaria</LSTag>. Você pode ter até 24 Pontos de Feitiçaria a qualquer momento."
Sorcery Channeling: 1,Canalização de Feitiçaria: 1
"Spend a level one <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag> in order to gain 2 <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Sorcery Points</LSTag>. You may have up to 24 Sorcery Points at any given time.","Gaste um espaço de <LSTag Tooltip=""SpellSlot"">Magia</LSTag> de nível um para ganhar 2 <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Pontos de Feitiçaria</LSTag>. Você pode ter até 24 Pontos de Feitiçaria a qualquer momento."
Sorcery Channeling: 2,Canalização de Feitiçaria: 2
"Spend a level two <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag> in order to gain 4 <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Sorcery Points</LSTag>. You may have up to 24 Sorcery Points at any given time.","Gaste um espaço de <LSTag Tooltip=""SpellSlot"">Magia</LSTag> de nível dois para ganhar 4 <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Pontos de Feitiçaria</LSTag>. Você pode ter até 24 Pontos de Feitiçaria a qualquer momento."
Sorcery Channeling: 3,Canalização de Feitiçaria: 3
"Spend a level three <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag> in order to gain 6 <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Sorcery Points</LSTag>. You may have up to 24 Sorcery Points at any given time.","Gaste um espaço de <LSTag Tooltip=""SpellSlot"">Magia</LSTag> de nível três para ganhar 6 <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Pontos de Feitiçaria</LSTag>. Você pode ter até 24 Pontos de Feitiçaria a qualquer momento."
Sorcery Channeling: 4,Canalização de Feitiçaria: 4
"Spend a level four <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag> in order to gain 8 <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Sorcery Points</LSTag>. You may have up to 24 Sorcery Points at any given time.","Gaste um espaço de <LSTag Tooltip=""SpellSlot"">Magia</LSTag> de nível quatro para ganhar 8 <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Pontos de Feitiçaria</LSTag>. Você pode ter até 24 Pontos de Feitiçaria a qualquer momento."
Sorcery Channeling: 5,Canalização de Feitiçaria: 5
"Spend a level five <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag> in order to gain 10 <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Sorcery Points</LSTag>. You may have up to 24 Sorcery Points at any given time.","Gaste um espaço de <LSTag Tooltip=""SpellSlot"">Magia</LSTag> de nível cinco para ganhar 10 <LSTag Type=""ActionResource"" Tooltip=""SorceryPoint"">Pontos de Feitiçaria</LSTag>. Você pode ter até 24 Pontos de Feitiçaria a qualquer momento."
