en,pt-BR
Conjure a beam of crackling energy.,Convoque um feixe de energia crepitante.
Eldritch Secrets,Segredos Eldritch
"You are privy to the indescribable horrors of the universe, and as such, are able to channel an inkling of their influence. You gain <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag> and <LSTag Type=""Spell"" Tooltip=""Shout_HematicInvocation"">Hematic Invocation</LSTag>.","Você está ciente dos horrores indescritíveis do universo e, como tal, é capaz de canalizar um vislumbre de sua influência. Você ganha <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Explosão Eldritch</LSTag> e <LSTag Type=""Spell"" Tooltip=""Shout_HematicInvocation"">Invocação Hemática</LSTag>."
"Sacrifice 10% of your total <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> to an Eldritch abomination in order to restore a <LSTag Tooltip=""WarlockSpellSlot"">Warlock Spell Slot</LSTag>.","Sacrifique 10% do seu total de <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> a uma abominação Eldritch para restaurar um <LSTag Tooltip=""WarlockSpellSlot"">Slot de Feitiço de Bruxo</LSTag>."
"<LSTag Type=""Image"" Info=""SoftWarning""/> Bargaining your life in this way renders you unable to recover Hit Points for three turns afterward.","<LSTag Type=""Image"" Info=""SoftWarning""/> Negociar sua vida dessa maneira o torna incapaz de recuperar Pontos de Vida por três turnos a seguir."
Hematic Invocation,Invocação Hemática
"Affected creatures maximum <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> have been reduced by 10% per stack of Hematic Invocation.","As criaturas afetadas tiveram seus <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> máximos reduzidos em 10% por pilha de Invocação Hemática."
Mystic Arcanum,Arcanum Místico
"At the beginning of any combat encounter, restore one <LSTag Tooltip=""WarlockSpellSlot"">Warlock Spell Slot</LSTag>.","No início de qualquer encontro de combate, restaure um <LSTag Tooltip=""WarlockSpellSlot"">Slot de Feitiço de Bruxo</LSTag>."
Eldritch Empowerment,Aprimoramento Eldritch
"When dealing damage with your <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, you deal an additional +1d12 damage.","Ao causar dano com seu <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, você causa um dano adicional de +1d12."
"When dealing damage with your <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, you deal an additional +1d12 damage. This can be toggled at any time.","Ao causar dano com seu <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, você causa +1d12 de dano adicional. Isso pode ser ativado a qualquer momento."
Deepened Arcanum,Arcanum Aprofundado
"At the beginning of any combat encounter, restore two <LSTag Tooltip=""WarlockSpellSlot"">Warlock Spell Slots</LSTag>.","No início de qualquer encontro de combate, restaure dois <LSTag Tooltip=""WarlockSpellSlot"">Espaços de Feitiço de Bruxo</LSTag>."
Improved Eldritch Empowerment,Aprimoramento Eldritch Aprimorado
"When dealing damage with your <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, you deal an additional +2d12 damage.","Ao causar dano com seu <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, você causa um dano adicional de +2d12."
"When dealing damage with your <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, you deal an additional +2d12 damage. This can be toggled at any time.","Ao causar dano com seu <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, você causa um adicional de +2d12 de dano. Isso pode ser ativado a qualquer momento."
Eldritch Inertia,Inércia Eldritch
"Affected creature has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on their next <LSTag Tooltip=""SavingThrow"">Saving Throw</LSTag>.","A criatura afetada tem <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> no próximo <LSTag Tooltip=""SavingThrow"">Teste de Resistência</LSTag>."
Pact of the Tome,Pacto do Tomo
"When you cast <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, add your <LSTag Tooltip=""AbilityModifier"">Charisma Modifier</LSTag> to the damage it deals, if positive.","Ao lançar <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Explosão Eldritch</LSTag>, adicione seu <LSTag Tooltip=""AbilityModifier"">Modificador de Carisma</LSTag> ao dano que causa, se for positivo."
Projected Inertia,Inércia Projetada
"Upon dealing damage with your <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, you apply <LSTag Type=""Status"" Tooltip=""ELDRITCH_STRIKE"">Eldritch Inertia</LSTag> for three turns.","Ao causar dano com seu <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Explosão Eldritch</LSTag>, você aplica <LSTag Type=""Status"" Tooltip=""ELDRITCH_STRIKE"">Inércia Eldritch</LSTag> por três turnos."
Eldritch Overflow,Transbordo Eldritch
"Your <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag> is now able to be split into two separate beams. This can be toggled at any time.","Seu <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Explosão Eldritch</LSTag> agora pode ser dividido em dois feixes separados. Isso pode ser ativado a qualquer momento."
Mystic Precision,Precisão Mística
"When you cast <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, the number you need in order to roll a <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag> is reduced by 1.","Ao lançar <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, o número que você precisa para rolar um <LSTag Tooltip=""CriticalHit"">Acerto Crítico</LSTag> é reduzido em 1."
Eldritch Surge,Impulso Eldritch
"Your <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag> is now able to be split into three separate beams. This can be toggled at any time.","Seu <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Explosão Eldritch</LSTag> agora pode ser dividido em três feixes separados. Isso pode ser ativado a qualquer momento."
Abyssal Desolation,Desolação Abissal
"When you roll a <LSTag Tooltip=""CriticalHit"">Critical Hit</LSTag> with your <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag>, you roll an additional damage die.","Quando você rolar um <LSTag Tooltip=""CriticalHit"">Acerto Crítico</LSTag> com seu <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Explosão Eldritch</LSTag>, você rola um dado de dano adicional."
WARLOCKCOMPANION,COMPANHEIRO FEITICEIRO
WARLOCKCOMPANIONTAGFORWARLOCKOVERHAUL,TAGCOMPANHEIRO FEITICEIRO PARA REFORMULAÇÃO DO FEITICEIRO
Chained Bonds,Laços Encadeados
Affected creature is benefiting from one or more passives provided by its summoning Warlock.,A criatura afetada está se beneficiando de um ou mais passivos fornecidos pelo seu Bruxo convocador.
Chained Bond,Vínculo Encadeado
"A binding pact links you and your Chained Companion, preventing your <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag> from harming them. Their stats increase for each of your Warlock levels.<br><br>In addition, your Chained Companions will gain various passive effects depending on the passives that you receive while leveling.","Um pacto vinculante liga você e seu Companheiro Acorrentado, impedindo que seu <LSTag Type=""Spell"" Tooltip=""Projectile_EldritchBlast"">Eldritch Blast</LSTag> os prejudique. As estatísticas deles aumentam a cada nível que você sobe como Bruxo.<br><br>Além disso, seus Companheiros Acorrentados ganharão vários efeitos passivos dependendo dos passivos que você receber ao subir de nível."
Chained Companion,Companheiro Acorrentado
Conjure Chained Companion: Imp,Conjurar Companheiro Encadeado: Imp
Summon a familiar with the form of an Imp. The familiar grows in strength alongside you as you level.,Convoque um familiar com a forma de um Imp. O familiar cresce em força junto com você à medida que você sobe de nível.
Conjure Chained Companion: Quasit,Conjurar Companheiro Encadeado: Quasite
Summon a familiar with the form of a Quasit. The familiar grows in strength alongside you as you level.,Convoque um familiar com a forma de um Quasit. O familiar cresce em força junto com você à medida que você sobe de nível.
Summon Cheeky Quasit,Invocar Quasit Travesso
Summon a cheeky familiar with the form of a foul-mouthed Quasit.,Convoque um familiar travesso com a forma de um Quasit de boca suja.
Firespark,Faísca de Fogo
Hurl a tiny spark of fire.,Lance uma pequena faísca de fogo.
Pact of the Chain,Pacto da Cadeia
"Gain the ability to summon an <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Imp"">Imp</LSTag> or <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Quasit"">Quasit</LSTag>. Both creatures will grow in strength alongside you each level.","Ganhe a habilidade de invocar um <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Imp"">Diabrete</LSTag> ou <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Quasit"">Quasita</LSTag>. Ambas as criaturas crescerão em força ao seu lado a cada nível."
Fiendish Growth I,Crescimento Demoníaco I
"As your pact deepens, so too does the strength of your familiars. Your <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Imp"">Imp</LSTag> has learned to cast <LSTag Type=""Spell"" Tooltip=""Projectile_Fireball"">Fireball</LSTag> and your <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Quasit"">Quasit</LSTag> has learned to cast <LSTag Type=""Spell"" Tooltip=""Shout_ArmsOfHadar"">Arms of Hadar</LSTag>. These spells may be cast once per combat encounter and their effectiveness scales to your level.","À medida que seu pacto se aprofunda, a força de seus familiares também aumenta. Seu <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Imp"">Imp</LSTag> aprendeu a lançar <LSTag Type=""Spell"" Tooltip=""Projectile_Fireball"">Bola de Fogo</LSTag> e seu <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Quasit"">Quasit</LSTag> aprendeu a lançar <LSTag Type=""Spell"" Tooltip=""Shout_ArmsOfHadar"">Braços de Hadar</LSTag>. Esses feitiços podem ser lançados uma vez por encontro de combate e sua eficácia escala com seu nível."
Broken Chains,Correntes Quebradas
"Your <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Imp"">Imp</LSTag> and <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Quasit"">Quasit</LSTag> roll an additional damage die when attacking with their <LSTag Tooltip=""Cantrip"">Cantrip</LSTag>. Additionally, they have gained the <LSTag Type=""Passive"" Tooltip=""ExtraAttack"">Extra Attack</LSTag> passive. Upon each instance of damage, your summons will now potentially inflict <LSTag Type=""Status"" Tooltip=""ELDRITCH_STRIKE"">Eldritch Inertia</LSTag> for three turns. This can be toggled at any time.","Seu <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Imp"">Imp</LSTag> e <LSTag Type=""Spell"" Tooltip=""Target_PactOfTheChain_Quasit"">Quasit</LSTag> rolam um dado de dano adicional ao atacar com seu <LSTag Tooltip=""Cantrip"">Truque</LSTag>. Além disso, eles ganharam a habilidade passiva <LSTag Type=""Passive"" Tooltip=""ExtraAttack"">Ataque Extra</LSTag>. Em cada instância de dano, suas invocações agora podem potencialmente infligir <LSTag Type=""Status"" Tooltip=""ELDRITCH_STRIKE"">Inércia Eldritch</LSTag> por três turnos. Isso pode ser ativado a qualquer momento."
Summoned Inertia,Inércia Invocada
"When dealing damage, you potentially apply <LSTag Type=""Status"" Tooltip=""ELDRITCH_STRIKE"">Eldritch Inertia</LSTag> for three turns. This can be toggled at any time.","Ao causar dano, você potencialmente aplica <LSTag Type=""Status"" Tooltip=""ELDRITCH_STRIKE"">Eldritch Inertia</LSTag> por três turnos. Isso pode ser ativado a qualquer momento."
Fiendish Growth II,Crescimento Demoníaco II
