en,pt-BR
"Utilized to recover <LSTag Tooltip=""SpellSlot"">Spell Slots</LSTag> through <LSTag Type=""Spell"" Tooltip=""Shout_ArcaneRecovery"">Arcane Channeling</LSTag>.","Utilizado para recuperar <LSTag Tooltip=""SpellSlot"">Slots de Feitiço</LSTag> através de <LSTag Type=""Spell"" Tooltip=""Shout_ArcaneRecovery"">Canalização Arcana</LSTag>."
Arcane Channeling,Canalização Arcana
"Use your knowledge of the Weave around you in order to replenish your <LSTag Tooltip=""SpellSlot"">Spell Slots</LSTag>.","Use seu conhecimento da Trama ao seu redor para reabastecer seus <LSTag Tooltip=""SpellSlot"">Espaços de Feitiço</LSTag>."
Lesser Arcane Channeling,Canalização Arcana Menor
"Spend 1 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Arcane Recovery</LSTag> charge in order to acquire a level one <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","Gaste 1 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Recuperação Arcana</LSTag> para adquirir um espaço de <LSTag Tooltip=""SpellSlot"">Magia</LSTag> de nível um."
Moderate Arcane Channeling,Canalização Arcana Moderada
"Spend 2 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Arcane Recovery</LSTag> charges in order to acquire a level two <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","Gaste 2 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Pontos de Recuperação Arcana</LSTag> para adquirir um espaço de <LSTag Tooltip=""SpellSlot"">Magia</LSTag> de nível dois."
Greater Arcane Channeling,Canalização Arcana Maior
"Spend 3 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Arcane Recovery</LSTag> charges in order to acquire a level three <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","Gaste 3 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Cargas de Recuperação Arcana</LSTag> para adquirir um espaço de <LSTag Tooltip=""SpellSlot"">Magia</LSTag> de nível três."
Superior Arcane Channeling,Canalização Arcana Superior
"Spend 4 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Arcane Recovery</LSTag> charges in order to acquire a level four <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","Gaste 4 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Recuperação Arcana</LSTag> para adquirir um espaço de <LSTag Tooltip=""SpellSlot"">Magia</LSTag> de nível quatro."
Exalted Arcane Channeling,Canalização Arcana Exaltada
"Spend 5 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Arcane Recovery</LSTag> charges in order to acquire a level five <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","Gaste 5 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Cargas de Recuperação Arcana</LSTag> para adquirir um espaço de <LSTag Tooltip=""SpellSlot"">Magia</LSTag> de nível cinco."
Sovereign Arcane Channeling,Canalização Arcana Soberana
"Spend 6 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Arcane Recovery</LSTag> charges in order to acquire a level six <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","Gaste 6 <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Pontos de Recuperação Arcana</LSTag> para adquirir um espaço de <LSTag Tooltip=""SpellSlot"">Magia</LSTag> de nível seis."
Spellweaver's Resurgence,Ressurgência do Tecelão de Feitiços
"Once per turn, you may spend 3 charges of your <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Arcane Recovery</LSTag> in order to recover your <LSTag Tooltip=""Action"">Action</LSTag>.","Uma vez por turno, você pode gastar 3 cargas do seu <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Recuperação Arcana</LSTag> para recuperar sua <LSTag Tooltip=""Action"">Ação</LSTag>."
Arcane Resurgence,Ressurgimento Arcano
"Spend 3 charges of your <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Arcane Recovery</LSTag> in order to receive an additional <LSTag Tooltip=""Action"">Action</LSTag> for the rest of your turn.","Gaste 3 cargas do seu <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Recuperação Arcana</LSTag> para receber uma <LSTag Tooltip=""Action"">Ação</LSTag> adicional pelo resto do seu turno."
The cost to learn Transmutation Spells from scrolls is reduced by half.,O custo para aprender Feitiços de Transmutação a partir de pergaminhos é reduzido pela metade.
The cost to learn Conjuration Spells from scrolls is reduced by half.,O custo para aprender Feitiços de Conjuração a partir de pergaminhos é reduzido pela metade.
The cost to learn Divination Spells from scrolls is reduced by half.,O custo para aprender Feitiços de Adivinhação a partir de pergaminhos é reduzido pela metade.
The cost to learn Evocation Spells from scrolls is reduced by half.,O custo para aprender Magias de Evocação a partir de pergaminhos é reduzido pela metade.
The cost to learn Necromancy Spells from scrolls is reduced by half.,O custo para aprender Magias de Necromancia a partir de pergaminhos é reduzido pela metade.
The cost to learn Illusion Spells from scrolls is reduced by half.,O custo para aprender Feitiços de Ilusão a partir de pergaminhos é reduzido pela metade.
The cost to learn Abjuration Spells from scrolls is reduced by half.,O custo para aprender Feitiços de Abjuração a partir de pergaminhos é reduzido pela metade.
The cost to learn Enchantment Spells from scrolls is reduced by half.,O custo para aprender Feitiços de Encantamento a partir de pergaminhos é reduzido pela metade.
Scholarly Acumen,Acuidade Acadêmica
"While in combat, at the start of each of your turns you gain one Scholarly Acumen. Scholarly Acumen assign various tasks for you complete in order to further your knowledge of the arcane. Upon completing these tasks, you recover a charge of <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Arcane Recovery</LSTag>.","Enquanto estiver em combate, no início de cada um dos seus turnos, você ganha um Acumen Acadêmico. O Acumen Acadêmico designa várias tarefas para você completar a fim de aprofundar seu conhecimento do arcano. Ao completar essas tarefas, você recupera uma carga de <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Recuperação Arcana</LSTag>."
Scholarly Acumen: Fulfilled,Acuidade Acadêmica: Cumprida
"For completing your assigned study, you have recovered a charge of <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Arcane Recovery</LSTag>.","Para completar seu estudo designado, você recuperou uma carga de <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Recuperação Arcana</LSTag>."
Scholarly Acumen: Fire,Acuidade Acadêmica: Fogo
Scholarly Acumen: Cold,Acuidade Acadêmica: Frio
Scholarly Acumen: Lightning,Conhecimento Acadêmico: Raio
Scholarly Acumen: Thunder,Acuidade Erudita: Trovão
Scholarly Acumen: Force,Acuidade Acadêmica: Força
Scholarly Acumen: Necrotic,Acuidade Acadêmica: Necrótica
Scholarly Acumen: Poison,Acuidade Acadêmica: Veneno
Scholarly Acumen: Psychic,Acuidade Acadêmica: Psíquico
Scholarly Acumen: Radiant,Acumen Acadêmico: Radiante
Scholarly Acumen: Acid,Acuidade Acadêmica: Ácido
"Upon dealing [1], recover one charge of <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Arcane Recovery</LSTag>.","Ao causar [1] de dano, recupere uma carga de <LSTag Type=""ActionResource"" Tooltip=""ArcaneRecoveryPoint"">Recuperação Arcana</LSTag>."
Scholarly Acumen: Arcane Flow,Acuidade Acadêmica: Fluxo Arcano
