en,pt-BR
HERO,HERO
HEROFORHEALTHSCALING,HERÓI PARA ESCALONAMENTO DE VIDA
Elven Enlightenment,Iluminação Élfica
"Gain <LSTag Tooltip=""Advantage"">Advantage</LSTag> on all Wisdom based <LSTag Tooltip=""AbilityCheck"">Ability Checks</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>.","Ganhe <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em todos os <LSTag Tooltip=""Wisdom"">Testes de Sabedoria</LSTag> baseados em <LSTag Tooltip=""AbilityCheck"">Testes de Habilidade</LSTag> e <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag>."
Elven Haste,Aceleração Élfica
"Your <LSTag Tooltip=""MovementSpeed"">Movement Speed</LSTag> is increased by [1].","Sua <LSTag Tooltip=""MovementSpeed"">Velocidade de Movimento</LSTag> é aumentada em [1]."
Breath of Nessus,Sopro de Nessus
"Gain basic <LSTag Type=""Status"" Tooltip=""DARKVISION"">Darkvision</LSTag> and the ability to cast <LSTag Type=""Spell"" Tooltip=""Projectile_ScorchingRay_AsmodeusTiefling"">Scorching Ray</LSTag> once per combat.","Ganhe <LSTag Type=""Status"" Tooltip=""DARKVISION"">Visão no Escuro</LSTag> básica e a habilidade de lançar <LSTag Type=""Spell"" Tooltip=""Projectile_ScorchingRay_AsmodeusTiefling"">Raio Escaldante</LSTag> uma vez por combate."
Asmodeus: Scorching Ray,Asmodeus: Braços de Hadar
Boon of the Archdevil,Bênção do Arcanjo Infernal
"Gain basic <LSTag Type=""Status"" Tooltip=""DARKVISION"">Darkvision</LSTag> and the ability to cast <LSTag Type=""Spell"" Tooltip=""Zone_BurningHands_MephistophelesTiefling"">Burning Hands</LSTag> once per combat.","Ganhe <LSTag Type=""Status"" Tooltip=""DARKVISION"">Visão no Escuro</LSTag> básica e a habilidade de lançar <LSTag Type=""Spell"" Tooltip=""Zone_BurningHands_MephistophelesTiefling"">Mãos Ardentes</LSTag> uma vez por combate."
Mephistopheles: Burning Hands,Mefistófeles: Mãos Ardentes
