en,pt-BR
,
The Dread Overlord,O Senhor do Terror
"You're a cultist fighting under the banner of the Dread Overlord, a monstrous dracolich necromancer who seeks to spread His maleficence and terror over all lands. In return for your service, boundless power over death itself and the promise of eternal life await. Command the very souls of the dead and raise powerful Greater Undead in His profane name!","Você é um cultista lutando sob a bandeira do Senhor Aterrorizante, um monstruoso dracolich necromante que busca espalhar Sua maleficência e terror por todas as terras. Em troca de seu serviço, um poder sem limites sobre a própria morte e a promessa de vida eterna o aguardam. Comande as próprias almas dos mortos e levante poderosos Mortos-Vivos Maiores em Seu nome profano!"
"Your patron is the Dread Overlord, a monstrous dracolich necromancer who seeks to spread his maleficence and terror over all lands.","Seu patrono é o Senhor do Terror, um monstruoso dracolich necromante que busca espalhar sua maleficência e terror por todas as terras."
Skeletal Giant,Gigante Esquelético
Skeletal Warlock,Feiticeiro Esquelético
Scythe of the Deathmage,Foice do Morte-mago
"Dried blood covers the metallic surface of this massive scythe, a weapon of the deathmages fighting under the banner of the Order of the Dracolich.","Sangue seco cobre a superfície metálica desta enorme foice, uma arma dos magos da morte lutando sob a bandeira da Ordem do Dracolich."
Bone Staff,Cajado de Osso
Bone Staff of the Occultist,Cajado Ósseo do Ocultista
"A gruesome-looking quarterstaff made from the spine and skull of a victim, a standard issue weapon of a Dread Cultist fighting under the banner of the Order of the Dracolich.","Um bastão de combate de aparência macabra feito da coluna vertebral e do crânio de uma vítima, uma arma padrão de um Cultista do Terror lutando sob a bandeira da Ordem do Dracolich."
Skull Flail,Macaquinho de Crânio
"A skull has been fashioned into the striking head of this gruesome-looking flail, a standard issue weapon of a Dread Cultist fighting under the banner of the Order of the Dracolich.","Uma caveira foi moldada na cabeça impressionante deste flail de aparência macabra, uma arma padrão de um Cultista do Terror lutando sob a bandeira da Ordem do Dracolich."
Ritual Sickle,Foice Ritualística
"A sliver of bone fashioned into a sharp sickle, a standard issue weapon of a Dread Cultist fighting under the banner of the Order of the Dracolich.","Um fragmento de osso moldado em uma foice afiada, uma arma padrão de um Cultista do Terror lutando sob a bandeira da Ordem do Dracolich."
Dread Cultist,Cultista do Terror
"As a cultist trained by the <LSTag Type=""Passive"" Tooltip=""DreadOverlord_LORE_OrderOfTheDracolich"">Order of the Dracolich</LSTag>, you are <LSTag Tooltip=""WeaponProficiency"">Proficient</LSTag> in Flails, Maces, Scimitars, Sickles, and Shields. You may call upon the <LSTag Type=""Passive"" Tooltip=""DreadOverlord_LORE_DreadOverlord"">Dread Overlord's</LSTag> power to ignite your weapon with his dark fire with the cantrip <LSTag Type=""Spell"" Tooltip=""Shout_DreadOverlord_NecroticBlade"">Necrotic Armaments</LSTag> at-will.","Como um cultista treinado pelo <LSTag Type=""Passive"" Tooltip=""DreadOverlord_LORE_OrderOfTheDracolich"">Ordem do Dracolich</LSTag>, você é <LSTag Tooltip=""WeaponProficiency"">Proficiência</LSTag> em Mordaças, Maças, Cimitarra, Foices e Escudos. Você pode invocar o poder do <LSTag Type=""Passive"" Tooltip=""DreadOverlord_LORE_DreadOverlord"">Soberano do Medo</LSTag> para acender sua arma com seu fogo sombrio usando o truque <LSTag Type=""Spell"" Tooltip=""Shout_DreadOverlord_NecroticBlade"">Armas Necróticas</LSTag> à vontade."
Forbidden Lore,Conhecimento Proibido
"Your pact with the <LSTag Type=""Passive"" Tooltip=""DreadOverlord_LORE_DreadOverlord"">Dread Overlord</LSTag> has cursed you with profane knowledge. Add +1 to any roll made with either <LSTag Tooltip=""Arcana"">Arcana</LSTag> or <LSTag Tooltip=""History"">History</LSTag>.<br><br>Fell lore has taught you how to curse enemies harmed by Necrotic damage from your cantrips, spells, and weapon attacks with <LSTag Type=""Status"" Tooltip=""NIGHTOFTHELIVINGDEAD"">Night of the Living Dead</LSTag>, dooming them to undeath. You also know how to <LSTag Type=""Spell"" Tooltip=""Target_DreadOverlord_SummonCrawlingClaw"">Create Crawling Claws</LSTag> from the corpses of humanoids and beasts.","Seu pacto com o <LSTag Type=""Passive"" Tooltip=""DreadOverlord_LORE_DreadOverlord"">Dread Overlord</LSTag> o amaldiçoou com conhecimento profano. Adicione +1 a qualquer rolagem feita com <LSTag Tooltip=""Arcana"">Arcana</LSTag> ou <LSTag Tooltip=""History"">História</LSTag>.<br><br>O conhecimento maligno ensinou você a amaldiçoar inimigos feridos por dano Necrótico de seus truques, feitiços e ataques com armas com <LSTag Type=""Status"" Tooltip=""NIGHTOFTHELIVINGDEAD"">Noite dos Mortos-Vivos</LSTag>, condenando-os à não-morte. Você também sabe como <LSTag Type=""Spell"" Tooltip=""Target_DreadOverlord_SummonCrawlingClaw"">Criar Garras Rastejantes</LSTag> a partir dos corpos de humanoides e bestas."
,
Invoker of Spirits: Soul Harvest,Invocador de Espíritos: Colheita de Almas
