en,pt-BR
Ability Improvement,Aprimoramento de Habilidade
"Select two <LSTag Tooltip=""Abilities"">Abilities</LSTag>. These abilities increase by an amount equal to your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag>.","Selecione duas <LSTag Tooltip=""Abilities"">Habilidades</LSTag>. Essas habilidades aumentam em uma quantidade igual ao seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag>."
Strength Improvement,Aprimoramento de Força
"Increase your Strength by an amount equal to your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag>.","Aumente sua Força em uma quantidade igual ao seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag>."
Dexterity Improvement,Aprimoramento de Destreza
"Increase your Dexterity by an amount equal to your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag>.","Aumente sua Destreza em uma quantidade igual ao seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag>."
Constitution Improvement,Aprimoramento de Constituição
"Increase your Constitution by an amount equal to your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag>.","Aumente sua Constituição em uma quantidade igual ao seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag>."
Intelligence Improvement,Aprimoramento de Inteligência
"Increase your Intelligence by an amount equal to your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag>.","Aumente sua Inteligência em uma quantidade igual ao seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag>."
Wisdom Improvement,Aprimoramento de Sabedoria
"Increase your Wisdom by an amount equal to your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag>.","Aumente sua Sabedoria em uma quantidade igual ao seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag>."
Charisma Improvement,Aprimoramento de Carisma
"Increase your Charisma by an amount equal to your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag>.","Aumente seu Carisma em uma quantidade igual ao seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag>."
"Learn four <LSTag Tooltip=""Cantrip"">Cantrips</LSTag> of your choice. Additionally, Cantrips which cost an <LSTag Tooltip=""Action"">Action</LSTag> may be cast as a <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Bonus Action</LSTag> instead. This may be toggled at any time.","Aprenda quatro <LSTag Tooltip=""Cantrip"">Truques</LSTag> de sua escolha. Além disso, Truques que custam uma <LSTag Tooltip=""Action"">Ação</LSTag> podem ser lançados como uma <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Ação Bônus</LSTag> em vez disso. Isso pode ser alternado a qualquer momento."
Accord of the Arcane,Acordo do Arcano
"Cantrips which cost an <LSTag Tooltip=""Action"">Action</LSTag> may be cast as a <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Bonus Action</LSTag> instead. This may be toggled at any time.","Truques que custam uma <LSTag Tooltip=""Action"">Ação</LSTag> podem ser lançados como uma <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">Ação Bônus</LSTag> em vez disso. Isso pode ser alternado a qualquer momento."
Alert,Alerta
