en,pt-BR
"<LSTag Type=""Image"" Info=""SoftWarning""/> Class Passives and Feats cannot stack with themselves through use of items.","<LSTag Type=""Image"" Info=""SoftWarning""/> Passivas de Classe e Talentos não podem se acumular entre si através do uso de itens."
You want to be stronger? Tougher? Smarter? Done! Anything is possible. (Ability Score +2),Você quer ser mais forte? Mais resistente? Mais inteligente? Feito! Tudo é possível. (Atributo +2)
Attunement,Sintonização
"Determines your ability to equip magical items. The rarity of the item determines the amount of Attunement required to equip it, with each higher rarity costing more.<br><br>Uncommon items require one point of Attunement.<br><br>Rare items require two points of Attunement.<br><br>Very Rare and Legendary items require four points of Attunement.","Determina sua habilidade de equipar itens mágicos. A raridade do item determina a quantidade de Sintonização necessária para equipá-lo, com cada raridade superior custando mais.<br><br>Itens incomuns requerem um ponto de Sintonização.<br><br>Itens raros requerem dois pontos de Sintonização.<br><br>Itens muito raros e lendários requerem quatro pontos de Sintonização."
Arrow of Aberration Slaying,Flecha de Aniquilação de Aberrações
Fire an arrow which rolls an additional damage die against Aberrations.,Dispare uma flecha que rola um dado de dano adicional contra Aberrações.
Arrow of Acid,Flecha Ácida
Fire an arrow which explodes in a spray of acid that deals an additional [2].,"Dispare uma flecha que explode em uma chuva de ácido, causando [2] a mais."
Arrow of Arcane Interference,Flecha de Interferência Arcana
"Fire an arrow which breaks your target's <LSTag Tooltip=""Concentration"">Concentration</LSTag> and <LSTag Type=""Status"" Tooltip=""SILENCED"">Silences</LSTag> them.","Dispare uma flecha que quebra a <LSTag Tooltip=""Concentration"">Concentração</LSTag> do seu alvo e <LSTag Type=""Status"" Tooltip=""SILENCED"">Silencia</LSTag> eles."
Arrow of Beast Slaying,Flecha de Extermínio de Bestas
Fire an arrow which rolls an additional damage die against Beasts.,Dispare uma flecha que rola um dado de dano adicional contra Bestas.
Arrow of Celestial Slaying,Flecha de Extermínio Celestial
Fire an arrow which rolls an additional damage die against Celestials.,Dispare uma flecha que rola um dado de dano adicional contra Celestiais.
Arrow of Construct Slaying,Flecha de Aniquilação de Construtos
Fire an arrow which rolls an additional damage die against Constructs.,Dispare uma flecha que rola um dado de dano adicional contra Construtos.
