en,pt-BR
Illithid Consequences,Consequências Ilitides
"You may use your connection to the parasite in your brain in order to force cultists of the Absolute to obey you. However, giving in to further allure of the tadpole will take a toll on your mind. After having taken a <LSTag Tooltip=""LongRest"">Long Rest</LSTag>, any additional Illithid powers you have obtained will reduce your maximum <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> by 2 for each power taken.","Você pode usar sua conexão com o parasita em seu cérebro para forçar os cultistas do Absoluto a obedecê-lo. No entanto, ceder ao apelo adicional do girino terá um custo em sua mente. Após ter feito um <LSTag Tooltip=""LongRest"">Descanso Longo</LSTag>, quaisquer poderes Ilitid adicionais que você tenha obtido reduzirão seu <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> máximos em 2 para cada poder adquirido."
Psionic Overload,Sobrecarga Psíquica
"When dealing damage with a weapon, deal an additional [1].","Ao causar dano com uma arma, cause um dano adicional de [1]."
Favourable Beginnings,Começos Favoráveis
"The first <LSTag Tooltip=""AttackRolls"">Attack Roll</LSTag> or <LSTag Tooltip=""AbilityCheck"">Ability Check</LSTag> you make against a creature or object rolls with a +2 bonus.","A primeira <LSTag Tooltip=""AttackRolls"">Rolagem de Ataque</LSTag> ou <LSTag Tooltip=""AbilityCheck"">Teste de Habilidade</LSTag> que você fizer contra uma criatura ou objeto rola com um bônus de +2."
Force Tunnel,Túnel de Força
"Charge forward, pushing all objects and creatures in your path [1] away from you.","Avance, empurrando todos os objetos e criaturas em seu caminho [1] para longe de você."
Empowered Force Tunnel,Túnel de Força Aprimorado
"Charge forward, dealing damage and pushing all objects and creatures in your path [1] away from you.","Avance, causando dano e empurrando todos os objetos e criaturas em seu caminho [1] para longe de você."
Flay Mind,Desgaste Mental
"Force a creature to undergo a searing pain which threatens to tear their mind asunder, driving them <LSTag Type=""Status"" Tooltip=""MADNESS"">Mad</LSTag>.","Forçar uma criatura a sofrer uma dor ardente que ameaça despedaçar sua mente, levando-a a <LSTag Type=""Status"" Tooltip=""MADNESS"">Mad</LSTag>."
Empowered Flay Mind,Desmembramento Aprimorado
"Force a creature to undergo a searing pain which threatens to tear their mind asunder, driving them <LSTag Type=""Status"" Tooltip=""MADNESS"">Mad</LSTag>. Regain <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> equal to the damage you deal.","Force uma criatura a sofrer uma dor ardente que ameaça despedaçar sua mente, levando-a à <LSTag Type=""Status"" Tooltip=""MADNESS"">Loucura</LSTag>. Recupere <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> iguais ao dano que você causar."
Infuse Health,Infundir Saúde
"Restore another creatures <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> by the amount that you currently have.","Restaure os <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> de outra criatura pela quantidade que você possui atualmente."
"Force a group of creatures to make <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> with <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag>. Each time they miss, they will take [1].","Force um grupo de criaturas a fazer <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> com <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag>. Cada vez que errarem, elas sofrerão [1]."
Stage Fright,Medo de Palco
"Affected creature has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> and takes [1] each time they miss. This status is removed once the creature successfully lands an attack.","A criatura afetada tem <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> e recebe [1] cada vez que erra. Esse status é removido assim que a criatura conseguir realizar um ataque bem-sucedido."
Ability Drain,Drenagem de Habilidade
"When you make an <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag> against a non-allied creature, the attack reduces your targets corresponding ability to successfully roll <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>.","Quando você faz uma <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag> contra uma criatura não aliada, o ataque reduz a capacidade correspondente do seu alvo de rolar com sucesso <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag>."
Ability Drain: Strength,Drenagem de Habilidade: Força
