en,pt-BR
Touch of Fire,Toque de Fogo
Touch an enemy with the force of a fireball. Everyone in the area will take [1] and the caster will be healed [2].,Toque um inimigo com a força de uma bola de fogo. Todos na área sofrerão [1] e o conjurador será curado em [2].
Larloch's Minor Drain,Drenagem Menor de Larloch
"Extract the target's life force and regain half as many <LSTag Tooltip=""HitPoints"">hit points</LSTag>.","Extraia a força vital do alvo e recupere metade dos <LSTag Tooltip=""HitPoints"">pontos de vida</LSTag>."
Toll the Dead,Tocar os Mortos
"If the target is below half its maximum <LSTag Tooltip=""HitPoints"">hit points</LSTag>, deal [2] otherwise deal [1].","Se o alvo estiver abaixo da metade de seus <LSTag Tooltip=""HitPoints"">pontos de vida</LSTag> máximos, cause [2], caso contrário, cause [1]."
Cause Fear,Causar Medo
"Possibly <LSTag Type=""Status"" Tooltip=""CAUSE_FEARED"">Frighten</LSTag> your target. They'll have <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on <LSTag Tooltip=""AbilityCheck"">Ability Checks</LSTag> and <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> and be unable to move.","Possivelmente <LSTag Type=""Status"" Tooltip=""CAUSE_FEARED"">Amedrontar</LSTag> seu alvo. Eles terão <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> em <LSTag Tooltip=""AbilityCheck"">Testes de Habilidade</LSTag> e <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> e não poderão se mover."
Booming Blade,Lâmina Estrondante
Strike for bonus [1].,Ataque para bônus [1].
Frostbite,Congelamento
"Has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag>.","Tem <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag>."
Frostbite,Congelamento
"Inflicts a numbing frost that causes <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag>.","Inflige uma geada paralisante que causa <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag>."
Green-Flame Blade,Lâmina de Chama Verde
"Can burn a nearby enemy with <LSTag Type=""Spell"" Tooltip=""Target_GreenFlameBladeExtra"">Spread Green Flame Blade</LSTag>. Removed if you move.","Pode queimar um inimigo próximo com <LSTag Type=""Spell"" Tooltip=""Target_GreenFlameBladeExtra"">Espalhar Lâmina de Chama Verde</LSTag>. Removido se você se mover."
Green-Flame Blade,Lâmina de Chama Verde
"Attack the target dealing a bonus [1]. If the attack lands and you remain stationary, you can spread green-flame to burn another nearby creature for [2].","Ataque o alvo causando um bônus de [1]. Se o ataque acertar e você permanecer estacionário, pode espalhar chama verde para queimar outra criatura próxima por [2]."
Spread Green-Flame Blade,Espalhe Lâmina de Chama Verde
Burn another enemy for [1].,Queime outro inimigo por [1].
Green-Flame Burn,Queimadura de Chama Verde
"Cannot be targeted by <LSTag Type=""Spell"" Tooltip=""Target_GreenFlameBladeExtra"">Spread Green Flame Blade</LSTag>.","Não pode ser alvo de <LSTag Type=""Spell"" Tooltip=""Target_GreenFlameBladeExtra"">Espalhar Lâmina de Chama Verde</LSTag>."
Gust,Rajada
Create a small blast of air to push a target [1] away.,Crie uma pequena explosão de ar para empurrar um alvo [1] para longe.
"The shove distance depends on your <LSTag Tooltip=""Strength"">Strength</LSTag> and the target's weight.","A distância do empurrão depende da sua <LSTag Tooltip=""Strength"">Força</LSTag> e do peso do alvo."
Hand of Radiance,Mão da Radiância
Burning radiance erupts from your hand to damage [1] nearby creatures.,Uma radiação ardente irrompe de sua mão para danificar [1] criaturas próximas.
Hand of Radiance,Mão da Radiância
You raise your hand and burning radiance erupts from it to purge enemies within [1] of you.,Você levanta sua mão e uma radiação ardente irrompe dela para purgar inimigos dentro de [1] de você.
Frightened,Amedrontado
"Cannot move. Frightened entities also have <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on <LSTag Tooltip=""AbilityCheck"">Ability Checks</LSTag> and <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag>.","Não pode se mover. Entidades amedrontadas também têm <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> em <LSTag Tooltip=""AbilityCheck"">Testes de Habilidade</LSTag> e <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag>."
Booming Energy,Energia Retumbante
Takes Thunder damage upon moving.,Sofre dano de Trovão ao se mover.
Booming Blade,Lâmina Estrondante
"Strike the target dealing a bonus [1]. If the attack lands, the target is sheathed in booming energy that deals [2] to them if they willingly move.","Atinga o alvo causando um bônus de [1]. Se o ataque for bem-sucedido, o alvo é envolto em energia vibrante que causa [2] a ele se se mover voluntariamente."
Booming Blast,Explosão Retumbante
Takes [1] for moving.,Sofre [1] por se mover.
Lightning Lure,Atrair Relâmpago
Pulls the creature [1] closer to you.,Puxa a criatura [1] para mais perto de você.
Infestation,Infestação
"<LSTag Tooltip=""MovementSpeed"">Movement speed</LSTag> is reduced by [1].","A <LSTag Tooltip=""MovementSpeed"">velocidade de movimento</LSTag> é reduzida em [1]."
Infestation,Infestação
"Summon a swarm of parasites to push the target forwards or back and reduce their <LSTag Tooltip=""MovementSpeed"">movement speed</LSTag> by [1].","Convoque um enxame de parasitas para empurrar o alvo para frente ou para trás e reduzir sua <LSTag Tooltip=""MovementSpeed"">velocidade de movimento</LSTag> em [1]."
Magic Stone,Pedra Mágica
"Can <LSTag Type=""Spell"" Tooltip=""Projectile_MagicStoneThrow"">Throw Magic Stone</LSTag>.","Pode <LSTag Type=""Spell"" Tooltip=""Projectile_MagicStoneThrow"">Lançar Pedra Mágica</LSTag>."
Magic Stone,Pedra Mágica
"Transmutes magical stones that deal [1], and use your <LSTag Tooltip=""SpellcastingAbilityModifier"">Spellcasting Ability</LSTag> for <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag>.","Transmuta pedras mágicas que causam [1] e usa seu <LSTag Tooltip=""SpellcastingAbilityModifier"">Modificador de Habilidade de Magia</LSTag> para <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag>."
Throw Magic Stone,Lançar Pedra Mágica
Throw a magical stone at a foe.,Lance uma pedra mágica contra um inimigo.
Mind Sliver,Fenda Mental
"Throw a psychic spike into a creature's mind inflicting a -[1] penalty to <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag> until the end of your next turn.","Lance um espinho psíquico na mente de uma criatura, infligindo uma penalidade de -[1] em <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag> até o final do seu próximo turno."
Mind Sliver,Fenda Mental
"Has a 1d4 penalty to <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>.","Tem uma penalidade de 1d4 em <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag>."
Create Mud,Criar Lama
Call forth mud.,Convocar lama.
Mold Earth,Moldar Terra
Call forth mud or destroy it within a [1] radius.,Convocar lama ou destruí-la dentro de um raio de [1].
Destroy Mud,Destruir Lama
Cause mud-based surfaces to vanish.,Faça superfícies baseadas em lama desaparecerem.
Primal Savagery,Fúria Primal
Strike a target with corrosive claws.,Ataque um alvo com garras corrosivas.
Sapping Sting,Picada Sanguessuga
"Sap the target's strength and knock it <LSTag Type=""Status"" Tooltip=""PRONE"">Prone</LSTag>.","Drene a força do alvo e o derrube <LSTag Type=""Status"" Tooltip=""PRONE"">Derrubado</LSTag>."
Sword Burst,Explosão de Espada
Spectral blades sweep at creatures within [1] of you.,Lâminas espectrais varrem criaturas dentro de [1] de você.
Word of Radiance,Palavra de Radiação
Utter a divine word that brings forth burning radiance in a [1] radius around you.,Pronuncie uma palavra divina que traz radiação ardente em um raio de [1] ao seu redor.
"Blade cantrips do not stack with <LSTag Type=""Status"" Tooltip=""EXTRA_ATTACK"">Extra Attack</LSTag>.<br><br>This spell can be cast while you are <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenced</LSTag>.<br><br>The bonus on hit damage starts at 0 and increases by [1] every 5 levels.","Os truques de lâmina não se acumulam com <LSTag Type=""Status"" Tooltip=""EXTRA_ATTACK"">Ataque Extra</LSTag>.<br><br>Este feitiço pode ser lançado enquanto você está <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenciado</LSTag>.<br><br>O bônus de dano ao acertar começa em 0 e aumenta em [1] a cada 5 níveis."
"This spell can be cast while you are <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenced</LSTag>.","Este feitiço pode ser lançado enquanto você está <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenciado</LSTag>."
"This spell can be cast while you are <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenced</LSTag>.","Este feitiço pode ser lançado enquanto você está <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenciado</LSTag>."
"This spell can be cast while you are <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenced</LSTag>.","Este feitiço pode ser lançado enquanto você está <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenciado</LSTag>."
Thunderclap,Estrondo do Trovão
Create a burst of thundering sound that damages enemies within [1] of you.,Crie uma explosão de som trovejante que danifica inimigos dentro de [1] de você.
"This spell can be cast while you are <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenced</LSTag>.","Este feitiço pode ser lançado enquanto você está <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenciado</LSTag>."
Absorb Elements,Absorver Elementos
"Take half damage from the next elemental attack targetting you, and deal an additional [1] of that element type on your next attack.",Receba metade do dano do próximo ataque elemental que te atingir e cause [1] de dano adicional desse tipo de elemento em seu próximo ataque.
Absorb Elements,Absorver Elementos
"Take half damage from the next elemental attack targetting you, and deal an additional [1] of that element type on your next attack.",Receba metade do dano do próximo ataque elemental que te atingir e cause [1] de dano adicional desse tipo de elemento em seu próximo ataque.
Absorb Elements Spell,Feitiço de Absorver Elementos
"Spell. Take half damage from the next elemental attack targetting you, and deal an additional [1] of that element type on your next attack. ",Feitiço. Sofra metade do dano do próximo ataque elemental que te atingir e cause um adicional de [1] desse tipo de elemento em seu próximo ataque.
Absorb Elements,Absorver Elementos
"Absorb elemental damage once per <LSTag Tooltip=""ShortRest"">Short Rest</LSTag>. Take half damage from the next elemental attack targetting you, and deal an additional [1] of that element type on your next attack.","Absorva dano elemental uma vez por <LSTag Tooltip=""ShortRest"">Descanso Curto</LSTag>. Sofra metade do dano do próximo ataque elemental direcionado a você e cause um adicional de [1] desse tipo de elemento em seu próximo ataque."
Absorb Elements,Absorver Elementos
"2 Take half damage from the next elemental attack targetting you, and deal an additional [1] of that element type on your next attack. ",Receba metade do dano do próximo ataque elemental que te atingir e cause [1] de dano adicional desse tipo de elemento em seu próximo ataque.
Shield Master: Block,Mestre do Escudo: Bloquear
"Shield yourself from a spell attack: when you fail a Dexterity <LSTag Tooltip=""SavingThrow"">Saving Throw</LSTag> on a spell, you only take half damage. When you succeed, you take no damage.","Proteja-se de um ataque mágico: quando você falha em um <LSTag Tooltip=""SavingThrow"">Teste de Resistência</LSTag> de Destreza em um feitiço, você sofre apenas metade do dano. Quando você tem sucesso, não sofre dano."
"Take half damage from the next elemental attack targetting you, and deal an additional [1] of that element type on your next attack. ",Receba metade do dano do próximo ataque elemental que te atingir e cause um adicional de [1] desse tipo de elemento em seu próximo ataque.
Absorb Elements,Absorver Elementos
"Take half damage from the next elemental attack targetting you, and deal an additional [1] of that element type on your next attack. ",Receba metade do dano do próximo ataque elemental que te atingir e cause um adicional de [1] desse tipo de elemento em seu próximo ataque.
Absorb Elements: Fire Damage,Absorver Elementos: Dano de Fogo
"<LSTag Tooltip=""Resistant"">Resistant</LSTag> to Fire damage and deals an additional [1] the next time it deals damage with a weapon.","<LSTag Tooltip=""Resistant"">Resistente</LSTag> a dano de Fogo e causa [1] adicional na próxima vez que causar dano com uma arma."
Absorb Elements: Acid Damage,Absorver Elementos: Dano de Ácido
"<LSTag Tooltip=""Resistant"">Resistant</LSTag> to Acid damage and deals an additional [1] the next time it deals damage with a weapon.","<LSTag Tooltip=""Resistant"">Resistente</LSTag> a dano de Ácido e causa um adicional de [1] na próxima vez que causar dano com uma arma."
Absorb Elements: Cold Damage,Absorver Elementos: Dano Frio
The affected entity has resistance to cold and deals an additional [1] the next time it deals damage with a weapon.,A entidade afetada tem resistência a frio e causa um adicional de [1] na próxima vez que causar dano com uma arma.
Absorb Elements: Lightning Damage,Absorver Elementos: Dano Elétrico
"<LSTag Tooltip=""Resistant"">Resistant</LSTag> to Lightning damage and deals an additional [1] the next time it deals damage with a weapon.","<LSTag Tooltip=""Resistant"">Resistente</LSTag> a dano de Raio e causa [1] adicional na próxima vez que causar dano com uma arma."
Absorb Elements: Thunder Damage,Absorver Elementos: Dano de Trovão
"<LSTag Tooltip=""Resistant"">Resistant</LSTag> to Thunder damage and deals an additional [1] the next time it deals damage with a weapon.","<LSTag Tooltip=""Resistant"">Resistente</LSTag> a dano de Trovão e causa [1] adicional na próxima vez que causar dano com uma arma."
"<LSTag Tooltip=""Resistant"">Resistant</LSTag> to Cold damage and deals an additional [1] the next time it deals damage with a weapon.","<LSTag Tooltip=""Resistant"">Resistente</LSTag> a dano de Frio e causa um adicional de [1] na próxima vez que causar dano com uma arma."
Acid Stream,Fluxo Ácido
Takes [1] at the start of their turn.,Sofre [1] no início de seu turno.
Acid Stream,Fluxo Ácido
Summon a stream of acid that corrodes enemies for [1] over [2] turns.,Convoque um jato de ácido que corrói inimigos por [1] durante [2] turnos.
Glyph of Warding: Sleep,Glicifo de Proteção: Sono
"The glyphs emit a soothing magic that puts everyone within range to <LSTag Type=""Status"" Tooltip=""SLEEP"">Sleep</LSTag> when stepped on by an enemy.","Os glifos emitem uma magia calmante que coloca todos dentro do alcance em <LSTag Type=""Status"" Tooltip=""SLEEP"">Sono</LSTag> quando pisados por um inimigo."
Beast Bond,Vínculo Bestial
"Affected entity has <LSTag Tooltip=""Advantage"">Advantage</LSTag> on <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> against a target if one of its allies is within [1] of the target and isn't Incapacitated.","A entidade afetada tem <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> contra um alvo se um de seus aliados estiver dentro de [1] do alvo e não estiver Incapacitado."
Beast Bond,Vínculo Bestial
"Grants a friendly beast <LSTag Tooltip=""Advantage"">Advantage</LSTag> on <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> against a target if one of its allies is within [1] of the target and isn't Incapacitated.","Concede a uma besta amiga <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> contra um alvo se um de seus aliados estiver dentro de [1] do alvo e não estiver Incapacitado."
Beast Bond,Vínculo Bestial
"Creature has <LSTag Tooltip=""Advantage"">Advantage</LSTag> on <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> against a target if one of its allies is within [1] of the target and isn't Incapacitated.","A criatura tem <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> contra um alvo se um de seus aliados estiver dentro de [1] do alvo e não estiver Incapacitado."
Catapult,Catapulta
Throws a light object at the target.,Lança um objeto leve contra o alvo.
Heavier items deal more damage.,Itens mais pesados causam mais dano.
;,
"Max weight of 5kg / 10lb.<br>Thrown weapons will also deal their normal damage.<br>This spell can be cast while you are <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenced</LSTag>.","Peso máximo de 5kg / 10lb.<br>Armas arremessadas também causarão seu dano normal.<br>Este feitiço pode ser lançado enquanto você está <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenciado</LSTag>."
Atonement,Expiação
"Grants the target <LSTag Tooltip=""Advantage"">Advantage</LSTag> on <LSTag Tooltip=""AbilityCheck"">Ability Checks</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag> using Wisdom.<br><br>Each turn the target must pass a DC 20 Wisdom <LSTag Tooltip=""SavingThrow"">Saving Throw</LSTag> or take [1].","Concede ao alvo <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em <LSTag Tooltip=""AbilityCheck"">Testes de Habilidade</LSTag> e <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag> usando Sabedoria.<br><br>Cada turno, o alvo deve passar em um <LSTag Tooltip=""SavingThrow"">Teste de Resistência</LSTag> de Sabedoria CD 20 ou sofrer [1]."
Ceremony,Cerimônia
Perform one of many beneficial religious ceremonies.,Realize uma das muitas cerimônias religiosas benéficas.
Bless Water,Abençoar Água
Create 1 vial of Holy Water in your or a companion's inventory.,Crie 1 frasco de Água Sagrada no seu inventário ou no de um companheiro.
Atonement,Expiação
