en,pt-BR
"Gain <LSTag Tooltip=""Resistant"">Resistance</LSTag> to Psychic damage.","Concede <LSTag Tooltip=""Resistant"">Resistência</LSTag> a dano Psíquico."
"You gain <LSTag Tooltip=""Resistant"">Resistance</LSTag> to Fire damage, and can no longer <LSTag Type=""Status"" Tooltip=""BURNING"">Burn</LSTag>.","Você ganha <LSTag Tooltip=""Resistant"">Resistência</LSTag> a dano de Fogo e não pode mais <LSTag Type=""Status"" Tooltip=""BURNING"">Queimar</LSTag>."
"Gain <LSTag Tooltip=""Resistant"">Resistance</LSTag> to Necrotic damage.","Concede <LSTag Tooltip=""Resistant"">Resistência</LSTag> a dano Necrótico."
"You gain <LSTag Tooltip=""Resistant"">Resistance</LSTag> to Poison damage and can no longer be <LSTag Type=""Status"" Tooltip=""POISONED"">Poisoned</LSTag>.","Você ganha <LSTag Tooltip=""Resistant"">Resistência</LSTag> a dano de Veneno e não pode mais ser <LSTag Type=""Status"" Tooltip=""POISONED"">Poisoned</LSTag>."
"You gain <LSTag Tooltip=""Resistant"">Resistance</LSTag> to Lightning damage and can no longer be <LSTag Type=""Status"" Tooltip=""SHOCKED"">Shocked</LSTag>, <LSTag Type=""Status"" Tooltip=""SHOCKED_SURFACE"">Electrocuted</LSTag>, or <LSTag Type=""Status"" Tooltip=""MAG_CHARGED_LIGHTNING_AURA_ELECTRIFIED"">Jolted</LSTag>. ","Você ganha <LSTag Tooltip=""Resistant"">Resistência</LSTag> a dano de Raio e não pode mais ser <LSTag Type=""Status"" Tooltip=""SHOCKED"">Chocado</LSTag>, <LSTag Type=""Status"" Tooltip=""SHOCKED_SURFACE"">Eletrocutado</LSTag> ou <LSTag Type=""Status"" Tooltip=""MAG_CHARGED_LIGHTNING_AURA_ELECTRIFIED"">Atordoado</LSTag>."
"The amount of <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> restored by potions increases along with your <LSTag Tooltip=""ProficiencyBonus"">Proficiency Bonus</LSTag>.","A quantidade de <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> restaurados por poções aumenta junto com seu <LSTag Tooltip=""ProficiencyBonus"">Bônus de Proficiência</LSTag>."
Gain the ability to temporarily comprehend and verbally communicate with beasts.,Ganhe a habilidade de compreender temporariamente e se comunicar verbalmente com bestas.
Soporific Oil,Óleo Soporífico
"When applied to a creature, they fall into a magical slumber. Condition ends when the creature takes damage or they are <LSTag Type=""Spell"" Tooltip=""Target_Help"">Helped</LSTag>.","Quando aplicado a uma criatura, ela cai em um sono mágico. A condição termina quando a criatura recebe dano ou é <LSTag Type=""Spell"" Tooltip=""Target_Help"">Ajudada</LSTag>."
Cures any form of disease.,Cura qualquer forma de doença.
Cured of all disease.,Curado de todas as doenças.
"Gain an additional <LSTag Tooltip=""Action"">Action</LSTag>. On your following turn, you will lose an Action.","Ganhe uma <LSTag Tooltip=""Action"">Ação</LSTag> adicional. No seu próximo turno, você perderá uma Ação."
"Cures all forms of <LSTag Type=""Status"" Tooltip=""BLINDED"">Blindness</LSTag> and <LSTag Type=""Status"" Tooltip=""PARALYZED"">Paralysis</LSTag>.","Cura todas as formas de <LSTag Type=""Status"" Tooltip=""BLINDED"">Cegueira</LSTag> e <LSTag Type=""Status"" Tooltip=""PARALYZED"">Paralisia</LSTag>."
"Cured of all forms of <LSTag Type=""Status"" Tooltip=""BLINDED"">Blindness</LSTag> and <LSTag Type=""Status"" Tooltip=""PARALYZED"">Paralysis</LSTag>.","Curado de todas as formas de <LSTag Type=""Status"" Tooltip=""BLINDED"">Cegueira</LSTag> e <LSTag Type=""Status"" Tooltip=""PARALYZED"">Paralisia</LSTag>."
"Drink to fall into a <LSTag Type=""Status"" Tooltip=""SLEEP"">Slumber</LSTag> for three turns. You gain the benefits of a <LSTag Tooltip=""ShortRest"">Short Rest</LSTag>.","Beba para cair em um <LSTag Type=""Status"" Tooltip=""SLEEP"">Sonho</LSTag> por três turnos. Você ganha os benefícios de um <LSTag Tooltip=""ShortRest"">Descanso Curto</LSTag>."
"Drink to fall into a <LSTag Type=""Status"" Tooltip=""SLEEP"">Slumber</LSTag> for three turns. You gain the benefits of a <LSTag Tooltip=""LongRest"">Long Rest</LSTag>.","Beba para cair em um <LSTag Type=""Status"" Tooltip=""SLEEP"">Sono</LSTag> por três turnos. Você ganha os benefícios de um <LSTag Tooltip=""LongRest"">Descanso Longo</LSTag>."
"<LSTag Tooltip=""Wisdom"">Wisdom</LSTag> is indefinitely reduced by 1.","A <LSTag Tooltip=""Wisdom"">Sabedoria</LSTag> é reduzida indefinidamente em 1."
"Gains <LSTag Type=""Spell"" Tooltip=""Target_Bite_MothersLoathing"">Bite</LSTag> until this creature takes a <LSTag Tooltip=""LongRest"">Long Rest</LSTag>.","Ganha <LSTag Type=""Spell"" Tooltip=""Target_Bite_MothersLoathing"">Mordida</LSTag> até que esta criatura faça um <LSTag Tooltip=""LongRest"">Descanso Longo</LSTag>."
Something waits for the creature to sleep...,Algo espera a criatura adormecer...
"<LSTag Tooltip=""ArmourClass"">Armour Class</LSTag> is reduced by 2. Can't take <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reactions</LSTag>.","<A LSTag Tooltip=""ArmourClass"">Classe de Armadura</LSTag> é reduzida em 2. Não pode realizar <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">reações</LSTag>."
"<LSTag Tooltip=""Strength"">Strength</LSTag> is increased by 2 until this creature takes a <LSTag Tooltip=""LongRest"">Long Rest</LSTag>.","<Aumenta a <LSTag Tooltip=""Strength"">Força</LSTag> em 2 até que esta criatura faça um <LSTag Tooltip=""LongRest"">Descanso Longo</LSTag>."
"<LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on Wisdom <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag> until this creature takes a <LSTag Tooltip=""LongRest"">Long Rest</LSTag>.","<LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> em <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag> de Sabedoria até que esta criatura faça um <LSTag Tooltip=""LongRest"">Descanso Longo</LSTag>."
"<LSTag Tooltip=""Resistant"">Resistant</LSTag> to poison damage until this creature takes a <LSTag Tooltip=""LongRest"">Long Rest</LSTag>.","<LSTag Tooltip=""Resistant"">Resistente</LSTag> a dano de veneno até que esta criatura faça um <LSTag Tooltip=""LongRest"">Descanso Longo</LSTag>."
Hostile to all other creatures.,Hostil a todas as outras criaturas.
"Increase your <LSTag Tooltip=""Strength"">Strength</LSTag> by 2.","Aumente sua <LSTag Tooltip=""Strength"">Força</LSTag> em 2."
"<LSTag Tooltip=""Strength"">Strength</LSTag> increased by 2.","<LSTag Tooltip=""Strength"">Força</LSTag> aumentou em 2."
"Drink to increase your <LSTag Tooltip=""ArmourClass"">Armour Class</LSTag> by 2. Replaces effects from other elixirs when drunk.","Beba para aumentar sua <LSTag Tooltip=""ArmourClass"">Classe de Armadura</LSTag> em 2. Substitui os efeitos de outros elixires quando ingerido."
"<LSTag Tooltip=""ArmourClass"">Armour Class</LSTag> increased by 2.","<LSTag Tooltip=""ArmourClass"">Classe de Armadura</LSTag> aumentada em 2."
"Drink to enter a bloodlust. Once per turn when you kill a foe, you gain [1] <LSTag Tooltip=""TemporaryHitPoints"">Temporary Hit Points</LSTag>. Replaces effects from other elixirs when drunk.","Beba para entrar em um frenesi sanguinário. Uma vez por turno, ao matar um inimigo, você ganha [1] <LSTag Tooltip=""TemporaryHitPoints"">Pontos de Vida Temporários</LSTag>. Substitui os efeitos de outros elixires quando consumido."
"Affected entity has entered a murderous state of bloodlust. Once per turn, when it kills an enemy, it gains  [1] <LSTag Tooltip=""TemporaryHitPoints"">Temporary Hit Points</LSTag>.","A entidade afetada entrou em um estado assassino de sede de sangue. Uma vez por turno, quando ela mata um inimigo, ganha [1] <LSTag Tooltip=""TemporaryHitPoints"">Pontos de Vida Temporários</LSTag>."
"You have entered a murderous state of bloodlust. Once per turn, when you kill an enemy, you gain  [1] <LSTag Tooltip=""TemporaryHitPoints"">Temporary Hit Points</LSTag>.","Você entrou em um estado assassino de sede de sangue. Uma vez por turno, ao matar um inimigo, você ganha [1] <LSTag Tooltip=""TemporaryHitPoints"">Pontos de Vida Temporários</LSTag>."
"Elixir of Bloodlust granted you 10 <LSTag Tooltip=""TemporaryHitPoints"">Temporary Hit Points</LSTag>.","Elixir of Bloodlust concedeu a você 10 <LSTag Tooltip=""TemporaryHitPoints"">Pontos de Vida Temporários</LSTag>."
"Become <LSTag Type=""Status"" Tooltip=""BLESS"">Blessed</LSTag>. Replaces effects from other elixirs when drunk.","Fique <LSTag Type=""Status"" Tooltip=""BLESS"">Abençoado</LSTag>. Substitui os efeitos de outros elixires quando ingerido."
Elixir of Reverence,Elixir da Reverência
"Affected entity is <LSTag Type=""Status"" Tooltip=""BLESS"">Blessed</LSTag>.","A entidade afetada está <LSTag Type=""Status"" Tooltip=""BLESS"">Abençoada</LSTag>."
"Drink to gain <LSTag Tooltip=""Advantage"">Advantage</LSTag> on <LSTag Tooltip=""Concentration"">Concentration</LSTag> based <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>, and against being <LSTag Type=""Status"" Tooltip=""CHARMED"">Charmed</LSTag>. Additionally, magic can't put you to sleep. Replaces effects from other elixirs when drunk.","Beba para ganhar <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em <LSTag Tooltip=""Concentration"">Concentração</LSTag> em <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag>, e contra ser <LSTag Type=""Status"" Tooltip=""CHARMED"">Encantado</LSTag>. Além disso, magia não pode te colocar para dormir. Substitui os efeitos de outros elixires quando consumido."
"Affected entity's ability to maintain its spells has increased.<br><br>It has <LSTag Tooltip=""Advantage"">Advantage</LSTag> to <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag> against being <LSTag Type=""Status"" Tooltip=""CHARMED"">Charmed</LSTag> and for maintaining <LSTag Tooltip=""Concentration"">Concentration</LSTag>. Additionally, magic can't put it to sleep.","A habilidade da entidade afetada de manter seus feitiços aumentou.<br><br>Ela tem <LSTag Tooltip=""Advantage"">Vantagem</LSTag> em <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag> contra ser <LSTag Type=""Status"" Tooltip=""CHARMED"">Encantada</LSTag> e para manter <LSTag Tooltip=""Concentration"">Concentração</LSTag>. Além disso, magia não pode fazê-la dormir."
"Drink to gain a +4 bonus to Initiative. In addition, you can't be <LSTag Type=""Status"" Tooltip=""SURPRISED"">Surprised</LSTag>. Replaces effects from other elixirs when drunk.","Beba para ganhar um bônus de +4 na Iniciativa. Além disso, você não pode ser <LSTag Type=""Status"" Tooltip=""SURPRISED"">Surprised</LSTag>. Substitui os efeitos de outras poções quando consumida."
