en,pt-BR
Thunderous Strike,Golpe Trovejante
"Strike a creature with your melee weapon, potentially causing them to take another [1] should they choose to move.","Acertar uma criatura com sua arma corpo a corpo, potencialmente fazendo com que ela sofra mais [1] caso escolha se mover."
Thunder Struck,Golpe do Trovão
Affected creature will take [1] should they choose to move.,A criatura afetada receberá [1] caso escolha se mover.
Create or Extinguish Flames,Criar ou Extinguir Chamas
"Create a [1] flaming surface, or extinguish flames entirely from a creature, object, or surface.","Crie uma superfície em chamas [1] ou extinga completamente as chamas de uma criatura, objeto ou superfície."
Create Flames,Criar Chamas
Create a [1] flaming surface.,Crie uma superfície em chamas [1].
Extinguish Flames,Extinguir Chamas
"Extinguish a flaming creature, object, or surface.","Extinguir uma criatura, objeto ou superfície em chamas."
Create Bonfire,Criar Fogueira
"Create a magical bonfire which grants all within [1] of it <LSTag Tooltip=""Resistant"">Resistance</LSTag> to Fire damage.","Crie uma fogueira mágica que concede a todos dentro de [1] dela <LSTag Tooltip=""Resistant"">Resistência</LSTag> contra dano de Fogo."
Fireside Comfort,Conforto à Beira da Fogueira
"Affected creature has <LSTag Tooltip=""Resistant"">Resistance</LSTag> to Fire damage while within [1] of the nearby bonfire.","A criatura afetada tem <LSTag Tooltip=""Resistant"">Resistência</LSTag> contra dano de Fogo enquanto estiver a [1] da fogueira próxima."
Druidcraft,Druidismo
"Attempt to <LSTag Type=""Status"" Tooltip=""ENSNARED_VINES"">Entangle</LSTag> another creature.","Tente <LSTag Type=""Status"" Tooltip=""ENSNARED_VINES"">Enredar</LSTag> outra criatura."
"Touch a creature, causing a numbing frost to form around them, imposing <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on their next <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag>.","Toque uma criatura, causando uma geada paralisante a se formar ao seu redor, impondo <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> em sua próxima <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag>."
Frostbite,Congelamento
"Affected creature has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on their next <LSTag Tooltip=""AttackRoll"">Attack Roll</LSTag>.","A criatura afetada tem <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> na sua próxima <LSTag Tooltip=""AttackRoll"">Rolagem de Ataque</LSTag>."
Green Flame-Blade,Lâmina de Chama Verde
"Strike a creature with your melee weapon, causing a spark of flame to ricochet into another enemy within [1], dealing [2].","Acertar uma criatura com sua arma corpo a corpo, fazendo uma faísca de chama ricochetear em outro inimigo dentro de [1], causando [2]."
Gust Bellow,Grito do Vento
"Create a gust of wind around yourself, removing surfaces within a [1] radius. Creatures and objects within [2] of you will potentially be forced back by [3].","Crie uma rajada de vento ao seu redor, removendo superfícies dentro de um raio de [1]. Criaturas e objetos dentro de [2] de você serão potencialmente empurrados para trás por [3]."
Conjure Infestation,Conjurar Infestação
