en,pt-BR
Acid,Ácido
"Affected creatures <LSTag Tooltip=""ArmourClass"">Armour Class</LSTag> is reduced by 2.","Criaturas afetadas têm sua <LSTag Tooltip=""ArmourClass"">Classe de Armadura</LSTag> reduzida em 2."
"Creatures standing in Acid have their <LSTag Tooltip=""ArmourClass"">Armour Class</LSTag> reduced by 2.","Criaturas em pé sobre Ácido têm sua <LSTag Tooltip=""ArmourClass"">Classe de Armadura</LSTag> reduzida em 2."
A Clown in Town,Um Palhaço na Cidade
Rue the day you crossed a fey. You were cruel to Dolly Thrice; now you'll have to pay the price.,Lamente o dia em que cruzou um fey. Você foi cruel com Dolly Thrice; agora terá que pagar o preço.
Affected creature has gained [1].,"A criatura afetada ganhou <LSTag Type=""Status"" Tooltip=""INSPIRATION"">Inspiração</LSTag>."
Alcohol,Álcool
Ancient Grudges,Rancores Antigos
"Filled with a touch of arcane gith knowledge.<Br><br>Has <LSTag Tooltip=""Advantage"">Advantage</LSTag> on <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> against aberrations.","Repleto de um toque de conhecimento arcano gith.<Br><br>Tem <LSTag Tooltip=""Advantage"">Vantagem</LSTag> nas <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> contra aberrações."
Anointed in Splendour ,Ungido em Esplendor
"Affected creatures deity has flooded its mind with ancient secrets both benevolent and baleful. It has a +[1] bonus to all <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>.","As criaturas afetadas têm sua mente inundada com segredos antigos, tanto benevolentes quanto maléficos. Ela recebe um bônus de +[1] em todos os <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag>."
Arcane Acuity,Acuidade Arcana
"Affected creature has a +[1] bonus to its Spell <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> and Spell <LSTag Tooltip=""DifficultyClass"">Difficulty Class</LSTag> for each remaining stack.","A criatura afetada recebe um bônus de +[1] em suas <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> de feitiço e <LSTag Tooltip=""DifficultyClass"">Classe de Dificuldade</LSTag> de feitiço para cada pilha restante."
Arcane Charge,Carga Arcana
"While <LSTag Type=""Status"" Tooltip=""THREATENED"">Threatened</LSTag>, affected creature has a +[1] bonus to damage with Spells.","Enquanto <LSTag Type=""Status"" Tooltip=""THREATENED"">Ameaçado</LSTag>, a criatura afetada tem um bônus de +[1] de dano com Feitiços."
Arcane Synergy,Sinergia Arcana
"Weapon attacks deal additional damage equal to affected creatures Spellcasting <LSTag Tooltip=""AbilityModifier"">Ability Modifier</LSTag>.","Ataques de arma causam dano adicional igual ao <LSTag Tooltip=""AbilityModifier"">Modificador de Habilidade</LSTag> de magia das criaturas afetadas."
Armour of Agathys,Armadura de Agathys
"Affected creature has gained [1]. While these Temporary Hit Points exist, all successful melee attacks made against this creature will result in [2] being dealt to it's aggressor.","A criatura afetada ganhou [1]. Enquanto esses Pontos de Vida Temporários existirem, todos os ataques corpo a corpo bem-sucedidos feitos contra esta criatura resultarão em [2] sendo causado ao seu agressor."
"Affected creature cannot use <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reactions</LSTag>.","A criatura afetada não pode usar <LSTag Type=""ActionResource"" Tooltip=""ReactionActionPoint"">Reações</LSTag>."
"Affected creature has a -1d4 penalty to <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>.","A criatura afetada tem uma penalidade de -1d4 em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> e <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag>."
This creature has banished another creature.,Esta criatura banhou outra criatura.
Banished,Banido
Affected creature has been banished from this plane of existence.,A criatura afetada foi banida deste plano de existência.
"Affected creature has increased their <LSTag Tooltip=""ArmourClass"">Armour Class</LSTag> to [1].","A criatura afetada aumentou sua <LSTag Tooltip=""ArmourClass"">Classe de Armadura</LSTag> para [1]."
"Affected creature regains the maximum amount of <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> possible when healed.","A criatura afetada recupera a quantidade máxima de <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> possível quando curada."
Smothered,Sufocado
"Affected creature has been restrained by dark tendrils and cannot move.<br><br><LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> against the affected creature have <LSTag Tooltip=""Advantage"">Advantage</LSTag>, while the creatures Attack Rolls and Dexterity based <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag> are made with <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag>.","A criatura afetada foi restringida por tentáculos sombrios e não pode se mover.<br><br><LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> contra a criatura afetada têm <LSTag Tooltip=""Advantage"">Vantagem</LSTag>, enquanto as Rolagens de Ataque da criatura e os <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag> baseados em Destreza são feitos com <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag>."
Creatures that approach this barrier are shredded by endless points and edges.,Criaturas que se aproximam desta barreira são dilaceradas por pontos e arestas infinitas.
"Affected creature has <LSTag Tooltip=""Resistant"">Resistance</LSTag> to the next instance of Bludgeoning, Piercing, or Slashing damage that they suffer.","A criatura afetada tem <LSTag Tooltip=""Resistant"">Resistência</LSTag> à próxima instância de dano de Contusão, Perfurante ou Cortante que ela sofrer."
Bleeding,Sangrando
"Affected creature takes [1] at the start of each turn and has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on Constitution based <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>.<br><br>Removed by healing.","A criatura afetada recebe [1] no início de cada turno e tem <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> em <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag> baseados em Constituição.<br><br>Removido por cura."
"Affected creature has a +1d4 bonus to <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> and <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>.","A criatura afetada tem um bônus de +1d4 em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag> e <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag>."
Blinded,Cegado
"Affected creature has <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag> on <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag>. The range of its attacks and Spells are reduced to [1]. Attack Rolls against this creature are made with <LSTag Tooltip=""Advantage"">Advantage</LSTag>.","A criatura afetada tem <LSTag Tooltip=""Disadvantage"">Desvantagem</LSTag> em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag>. O alcance de seus ataques e feitiços é reduzido para [1]. Rolagens de Ataque contra esta criatura são feitas com <LSTag Tooltip=""Advantage"">Vantagem</LSTag>."
Bloodless,Sangue Frio
"Affected creature suffers a -1 penalty to <LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag>, <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>, and <LSTag Tooltip=""AbilityCheck"">Ability Checks</LSTag>.","A criatura afetada sofre uma penalidade de -1 em <LSTag Tooltip=""AttackRoll"">Rolagens de Ataque</LSTag>, <LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag> e <LSTag Tooltip=""AbilityCheck"">Testes de Habilidade</LSTag>."
Burning,Queimando
Buthir's Wrath,Ira de Buthir
"Buthir unleashes her wrath! Her <LSTag Tooltip=""Strength"">Strength</LSTag> has increased by 4!","Buthir libera sua ira! Sua <LSTag Tooltip=""Strength"">Força</LSTag> aumentou em 4!"
"Affected creature can cast a weakened version of <LSTag Type=""Spell"" Tooltip=""Target_CallLightning_LightningBolt"">Call Lightning</LSTag> without expending a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","A criatura afetada pode lançar uma versão enfraquecida de <LSTag Type=""Spell"" Tooltip=""Target_CallLightning_LightningBolt"">Invocar Relâmpago</LSTag> sem gastar um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag>."
"Affected creature can cast a weakened version of <LSTag Type=""Spell"" Tooltip=""Target_CallLightning_LightningBolt_2"">Call Lightning</LSTag> without expending a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","A criatura afetada pode lançar uma versão enfraquecida de <LSTag Type=""Spell"" Tooltip=""Target_CallLightning_LightningBolt_2"">Invocar Relâmpago</LSTag> sem gastar um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag>."
"Affected creature can cast a weakened version of <LSTag Type=""Spell"" Tooltip=""Target_CallLightning_LightningBolt_3"">Call Lightning</LSTag> without expending a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","A criatura afetada pode lançar uma versão enfraquecida de <LSTag Type=""Spell"" Tooltip=""Target_CallLightning_LightningBolt_3"">Invocar Relâmpago</LSTag> sem gastar um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag>."
"Affected creature can cast a weakened version of <LSTag Type=""Spell"" Tooltip=""Target_CallLightning_LightningBolt_4"">Call Lightning</LSTag> without expending a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","A criatura afetada pode lançar uma versão enfraquecida de <LSTag Type=""Spell"" Tooltip=""Target_CallLightning_LightningBolt_4"">Invocar Relâmpago</LSTag> sem gastar um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag>."
"Affected creature can cast a weakened version of <LSTag Type=""Spell"" Tooltip=""Target_CallLightning_LightningBolt_5"">Call Lightning</LSTag> without expending a <LSTag Tooltip=""SpellSlot"">Spell Slot</LSTag>.","A criatura afetada pode lançar uma versão enfraquecida de <LSTag Type=""Spell"" Tooltip=""Target_CallLightning_LightningBolt_5"">Invocar Relâmpago</LSTag> sem gastar um <LSTag Tooltip=""SpellSlot"">Espaço de Feitiço</LSTag>."
