en,pt-BR
Retaliation,Retaliação
"When a creature hits you with a melee attack, you can use your reaction to make a melee weapon attack against that creature.","Quando uma criatura te atingir com um ataque corpo a corpo, você pode usar sua reação para fazer um ataque com arma corpo a corpo contra essa criatura."
Primal Champion,Campeão Primal
Your Strength and Constitution scores increase by 4. Your maximum for those scores is now 24.,Seu valor de Força e Constituição aumenta em 4. Seu máximo para esses valores agora é 24.
Slippery Mind,Mente Escorregadia
You gain Proficiency in Wisdom Saving Throws.,Você ganha Proficiência em Testes de Resistência de Sabedoria.
Brutal Critical (2),Crítico Brutal (2)
You can roll two additional weapon damage die when determining the extra damage for a critical hit with a melee attack.,Você pode rolar dois dados de dano de arma adicionais ao determinar o dano extra para um acerto crítico com um ataque corpo a corpo.
Brutal Critical (3),Crítico Brutal (3)
You can roll three additional weapon damage die when determining the extra damage for a critical hit with a melee attack.,Você pode rolar três dados de dano de arma adicionais ao determinar o dano extra para um acerto crítico com um ataque corpo a corpo.
Persistent Rage,Fúria Persistente
Your rage is so fierce that it ends early only if you fall unconscious or if you choose to end it.,Sua fúria é tão intensa que termina cedo apenas se você desmaiar ou se optar por encerrá-la.
Extra Attack (3),Ataque Extra (3)
The number of additional attacks increased to three.,O número de ataques adicionais aumentou para três.
Aura of Protection (2),Aura de Proteção (2)
"Whenever you or a friendly creature within [10] of you must make a saving throw, the creature gains a bonus to the saving throw equal to your Charisma modifier (with a minimum bonus of +1).","Sempre que você ou uma criatura amiga dentro de [10] de você precisar fazer um teste de resistência, a criatura ganha um bônus no teste de resistência igual ao seu modificador de Carisma (com um bônus mínimo de +1)."
Aura of Courage (2),Aura da Coragem (2)
You and friendly Creatures within [10] of you can't be Frightened.,Você e criaturas amigas dentro de [10] de você não podem ficar Amedrontadas.
Battle Magic,Magia de Batalha
"When you use your action to cast a bard spell, you can make one weapon attack as a bonus action.","Quando você usa sua ação para conjurar um feitiço de bardo, pode fazer um ataque com arma como uma ação bônus."
Improved War Magic,Magia Bélica Aprimorada
"When you use your action to cast a spell, you can make one weapon attack as a bonus action.","Quando você usa sua ação para lançar um feitiço, pode fazer um ataque com arma como uma ação bônus."
Thousand Forms,Mil Formas
"By 14th level, you have learned to use magic to alter your physical form in more subtle ways. You can cast the Alter Self spell at will.","Ao atingir o 14º nível, você aprendeu a usar magia para alterar sua forma física de maneiras mais sutis. Você pode lançar o feitiço Alterar-se à vontade."
Peerless Skill,Habilidade Ímpar
"When you make an ability check, you can expend one use of Bardic Inspiration and add the number rolled to your ability check.","Ao fazer um teste de habilidade, você pode gastar uma utilização de Inspiração de Bardo e adicionar o número rolado ao seu teste de habilidade."
Corona of Light,Coroa da Luz
You can use your action to activate an aura of sunlight that lasts for 1 minute or until you dismiss it using another action. You emit bright light in a [15]60 foot radius.,Você pode usar sua ação para ativar uma aura de luz solar que dura 1 minuto ou até que você a dispensa usando outra ação. Você emite luz intensa em um raio de [15]60 pés.
Dismiss Corona of Light,Dispensar Coroa de Luz
Remove your aura of sunlight.,Remova sua aura de luz solar.
Stormborn,Nascido da Tempestade
You have a flying speed equal to your current walking speed.,Você tem uma velocidade de voo igual à sua velocidade de caminhada atual.
Avatar of Battle,Avatar da Batalha
"You gain resistance to bludgeoning, piercing, and slashing damage from nonmagical attacks.","Você ganha resistência a dano de contusão, perfuração e corte de ataques não mágicos."
Indomitable (2),Indomável (2)
Indomitable (3),Indomável (3)
Relentless,Implacável
"When you roll initiative and have no superiority dice remaining, you regain 1 superiority die.","Quando você rola a iniciativa e não tem dados de superioridade restantes, você recupera 1 dado de superioridade."
Perfect Self,Auto Perfeito
"When you roll for initiative and have no ki points remaining, you regain 4 ki points.","Quando você rola para iniciativa e não tem pontos de ki restantes, você recupera 4 pontos de ki."
Tongue of the Sun and Moon,Língua do Sol e da Lua
You learn to touch the ki of other minds so that you understand all spoken languages.,Você aprende a tocar o ki de outras mentes para que entenda todas as línguas faladas.
Superior Critical,Crítico Superior
Your weapon attacks score a critical hit on a roll of 18-20.,Seus ataques com armas causam um acerto crítico em uma rolagem de 18-20.
Survivor,Sobrevivente
"At the start of each of your turns, you regain hit points equal to 5 + your Constitution modifier if you have no more than half of your hit points left. You don't gain this benefit if you have 0 hit points.","No início de cada um dos seus turnos, você recupera pontos de vida iguais a 5 + seu modificador de Constituição se você tiver não mais que metade dos seus pontos de vida restantes. Você não ganha esse benefício se tiver 0 pontos de vida."
Sorcerous Restoration,Restauração de feitiçaria
You regain 4 expended sorcery points whenever you finish a short rest.,Você recupera 4 pontos de feitiçaria gastos sempre que termina um descanso curto.
Wind Soul,Alma do Vento
You gain immunity to lightning and thunder damage. You also gain a magical flying speed of 60 feet.,Você ganha imunidade a dano de relâmpago e trovão. Você também ganha uma velocidade mágica de voo de 60 pés.
Spell Resistance,Resistência a Feitiços
"You have advantage on saving throws against spells. Furthermore, you have resistance against the damage of spells.","Você tem vantagem em testes de resistência contra feitiços. Além disso, você tem resistência contra o dano de feitiços."
Superior Inspiration,Inspiração Superior
"When you enter combat and have no uses of Bardic Inspiration left, you regain one use.","Quando você entra em combate e não tem mais usos de Inspiração de Bardo, você recupera um uso."
Fungal Body,Corpo Fúngico
"The fungal spores in your body alter you: you can't be blinded, deafened, frightened, or poisoned, and any critical hit against you counts as a normal hit instead, unless you're incapacitated.","Os esporos fúngicos em seu corpo o alteram: você não pode ser cegado, surdo, amedrontado ou envenenado, e qualquer acerto crítico contra você conta como um acerto normal, a menos que você esteja incapacitado."
Eldritch Master,Mestre Místico
"While not in combat, you can draw on your inner reserve of mystical power while entreating your patron to regain all your expended spell slots. Once you regain spell slots with this feature, you must finish a long rest before you can do so again.","Enquanto não estiver em combate, você pode recorrer à sua reserva interna de poder místico enquanto implora ao seu patrono para recuperar todos os seus espaços de magia gastos. Uma vez que você recupere os espaços de magia com essa habilidade, deve completar um descanso longo antes de poder fazê-lo novamente."
Blindsense,Sentido Cego
You are aware of the location of any hidden or invisible creature nearby.,Você está ciente da localização de qualquer criatura oculta ou invisível nas proximidades.
Elusive,Evasivo
You are so evasive that attackers rarely gain the upper hand against you. No attack roll has advantage against you while you aren't incapacitated. (currently non-functional),Você é tão evasivo que os atacantes raramente conseguem a vantagem contra você. Nenhuma rolagem de ataque tem vantagem contra você enquanto você não estiver incapacitado. (atualmente não funcional)
Signature Spells,Feitiços Assinatura
"Choose two 3rd-level wizard spells in your spellbook as your signature spells. You always have these spells prepared, they don't count against the number of spells you have prepared, and you can cast each of them once at 3rd level without expending a spell slot. When you do so, you can't do so again until you finish a short or long rest.","Escolha dois feitiços de mago de 3º nível em seu grimório como seus feitiços assinatura. Você sempre terá esses feitiços preparados, eles não contam contra o número de feitiços que você tem preparados, e você pode lançar cada um deles uma vez no 3º nível sem gastar um espaço de feitiço. Quando o fizer, você não poderá fazê-lo novamente até que termine um descanso curto ou longo."
Aura of Courage (10m),Aura da Coragem (10m)
Aura of Devotion (10m),Aura de Devoção (10m)
Aura of Hate (10m),Aura do Ódio (10m)
Aura of Protection (10m),Aura de Proteção (10m)
Aura of Warding (10m),Aura de Proteção (10m)
