en,pt-BR
Valkrana's Glow-in-the-Dark Skeletons,Esqueletos Brilhantes no Escuro de Valkrana
Animate a corpse or collection of bones to create 2 miniature glow-in-the-dark skeletons.,Anime um cadáver ou coleção de ossos para criar 2 esqueletos em miniatura que brilham no escuro.
Animate a corpse or collection of bones to create 4 miniature glow-in-the-dark skeletons.,Anime um cadáver ou coleção de ossos para criar 4 esqueletos em miniatura que brilham no escuro.
Animate a corpse or collection of bones to create 6 miniature glow-in-the-dark skeletons.,Anime um cadáver ou um conjunto de ossos para criar 6 esqueletos em miniatura que brilham no escuro.
Animate a corpse or collection of bones to create 8 miniature glow-in-the-dark skeletons.,Anime um cadáver ou uma coleção de ossos para criar 8 esqueletos em miniatura que brilham no escuro.
Animate a corpse or collection of bones to create 10 miniature glow-in-the-dark skeletons.,Anime um cadáver ou coleção de ossos para criar 10 esqueletos em miniatura que brilham no escuro.
Animate a corpse or collection of bones to create 12 miniature glow-in-the-dark skeletons.,Anime um cadáver ou uma coleção de ossos para criar 12 esqueletos em miniatura que brilham no escuro.
Glow-in-the-Dark,Brilho no Escuro
Rambunctious,Indomável
These mischievous miniature skeletons have a mind of their own in combat.,Esses esqueletos miniatura travessos têm uma mente própria em combate.
Chomp,Mordida
Glow-in-the-Dark Skeleton,Esqueleto que Brilha no Escuro
Valkrana's Lesser Skeleport,Skeleport Menor de Valkrana
"You swap your skeleton with that of a corpse or allied undead within [1], even if you can't see your target. Immediately after which, you swap the rest. For the spell's one-minute duration, you may use a <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">bonus action</LSTag> to cast it again without expending a spell slot.","Você troca seu esqueleto com o de um cadáver ou morto-vivo aliado dentro de [1], mesmo que não consiga ver seu alvo. Imediatamente após isso, você troca o resto. Durante a duração de um minuto do feitiço, você pode usar uma <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">ação bônus</LSTag> para lançá-lo novamente sem gastar um espaço de magia."
"Must target a corpse or friendly undead, which must have a skeleton.","Deve mirar em um cadáver ou morto-vivo amigo, que deve ter um esqueleto."
Skeleporting,Skeleportação
"You can use your <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">bonus action</LSTag> to re-cast Valkrana's Lesser Skeleport without expending a spell slot.","Você pode usar sua <LSTag Type=""ActionResource"" Tooltip=""BonusActionPoint"">ação bônus</LSTag> para relançar o Skeleport Menor de Valkrana sem gastar um espaço de magia."
Valkrana's Negative Energy Field,Campo de Energia Negativa de Valkrana
"Channel a [3] field thick with necromancy that harms the living and empowers the undead.<br><br>When an undead enters the area for the first time on a turn or starts its turn there, it heals [2], adds [1] to its attacks, and gains Turn Resistance; a living enemy will instead suffer [1].<br><br>Many reanimation spells don't require a corpse due to the abundance of negative energy in its area.","Canalize um campo de [3] denso com necromancia que prejudica os vivos e fortalece os mortos-vivos.<br><br>Quando um morto-vivo entra na área pela primeira vez em um turno ou começa seu turno lá, ele se cura [2], adiciona [1] aos seus ataques e ganha Resistência a Turnos; um inimigo vivo, por sua vez, sofrerá [1].<br><br> Muitos feitiços de reanimação não requerem um corpo devido à abundância de energia negativa em sua área."
Negative Energy Zone,Zona de Energia Negativa
Many reanimation spells don't require corpses due to the abundance of negative energy around you.,Muitos feitiços de reanimação não requerem cadáveres devido à abundância de energia negativa ao seu redor.
"Infused with negative energy. Regenerating [2] per turn, adds [1] to attacks, and is resistant to Turn Undead.","Infundido com energia negativa. Regenerando [2] por turno, adiciona [1] aos ataques e é resistente a Expulsar Mortos-Vivos."
Weakened by negative energy. Taking [1] per turn.,Enfraquecido por energia negativa. Sofrendo [1] por turno.
Valkrana's Dread Skeleton,Esqueleto Aterrorizante de Valkrana
Dread Skeleton,Esqueleto Aterrorizante
Dread Marksman,Atirador Aterrorizante
"Reanimate an imposing skeleton that either fills nearby enemies with dread and steel, or with bolts dipped in pernicious poisons from afar. Dread Skeletons created with spell slots of 6th-level or higher are stronger and have more abilities.","Reanime um esqueleto imponente que pode encher inimigos próximos com terror e aço, ou disparar de longe com projéteis mergulhados em venenos perniciosos. Esqueletos do Terror criados com slots de feitiço de 6º nível ou superior são mais fortes e têm mais habilidades."
Reanimate an imposing skeleton that specializes in melee combat and fills nearby enemies with dread.,Reanime um esqueleto imponente que se especializa em combate corpo a corpo e enche inimigos próximos de terror.
Reanimate [1] imposing skeletons that specialize in melee combat and fill nearby enemies with dread.,Reanime [1] esqueletos imponentes que se especializam em combate corpo a corpo e enchem inimigos próximos de temor.
Reanimate an imposing skeleton that specializes in ranged combat using deadly poison.,Reanime um esqueleto imponente que se especializa em combate à distância usando veneno mortal.
Reanimate [1] imposing skeletons that specialize in ranged combat using deadly poison.,Reanime [1] esqueletos imponentes que se especializam em combate à distância usando veneno mortal.
Aura of Dread,Aura do Medo
"Can possibly <LSTag Type=""Status"" Tooltip=""FRIGHTENED"">Frighten</LSTag> nearby enemies with its dread presence.","Pode possivelmente <LSTag Type=""Status"" Tooltip=""FRIGHTENED"">Amedrontar</LSTag> inimigos próximos com sua presença aterrorizante."
"<LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag> reduced by 1.","<LSTag Tooltip=""SavingThrow"">Testes de Resistência</LSTag> reduzidos em 1."
Pernicious Mark,Marca Perniciosa
"Mark a target to make it <LSTag Tooltip=""Vulnerable"">Vulnerable</LSTag> to Poison damage.","Marque um alvo para torná-lo <LSTag Tooltip=""Vulnerable"">Vulnerável</LSTag> a dano de Veneno."
"Marked by the dead. Affected entity is <LSTag Tooltip=""Vulnerable"">Vulnerable</LSTag> to Poison damage, or loses its Poison <LSTag Tooltip=""Resistant"">Resistance</LSTag>.","Marcado pelos mortos. A entidade afetada é <LSTag Tooltip=""Vulnerable"">Vulnerável</LSTag> a dano de Veneno, ou perde sua <LSTag Tooltip=""Resistant"">Resistência</LSTag> a Veneno."
