en,pt-BR
"Until no longer enraged, you may cast <LSTag Type=""Spell"" Tooltip=""Target_WildMagicBarbarian_Teleport"">Flamebreak</LSTag> once per turn.","Até não estar mais enfurecido, você pode lançar <LSTag Type=""Spell"" Tooltip=""Target_WildMagicBarbarian_Teleport"">Quebra de Chamas</LSTag> uma vez por turno."
"Affected creature may cast <LSTag Type=""Spell"" Tooltip=""Target_WildMagicBarbarian_Teleport"">Flamebreak</LSTag> once per turn until no longer enraged.","A criatura afetada pode lançar <LSTag Type=""Spell"" Tooltip=""Target_WildMagicBarbarian_Teleport"">Quebra de Chamas</LSTag> uma vez por turno até não estar mais enfurecida."
Wild Soul: Flamebreak,Alma Selvagem: Quebra-Chamas
"Teleport up to [1] to an unoccupied space you can see, <LSTag Type=""Status"" Tooltip=""BURNING"">Burning</LSTag> all enemies within [2].","Teleporte até [1] para um espaço desocupado que você pode ver, <LSTag Type=""Status"" Tooltip=""BURNING"">Queimando</LSTag> todos os inimigos dentro de [2]."
"Shadowy tendrils lash around you, draining the life from all enemies within [1].","Tendrilhas sombrias se agitam ao seu redor, drenando a vida de todos os inimigos dentro de [1]."
Wild Soul: Dark Tendrils,Alma Selvagem: Tentáculos Sombrios
"Affected creature is surrounded by tendrils of wild shadow magic. Each turn they lash out, absorbing enemies <LSTag Tooltip=""HitPoints"">Hit Points</LSTag> within [1].","A criatura afetada está cercada por tentáculos de magia das sombras selvagens. A cada turno, eles atacam, absorvendo os <LSTag Tooltip=""HitPoints"">Pontos de Vida</LSTag> dos inimigos dentro de [1]."
"Until no longer enraged, you may summon an <LSTag Type=""Spell"" Tooltip=""Target_WildMagicBarbarian_ExplodingFlumph"">Intangible Spirit</LSTag> each turn.","Até não estar mais enfurecido, você pode invocar um <LSTag Type=""Spell"" Tooltip=""Target_WildMagicBarbarian_ExplodingFlumph"">Espírito Intangível</LSTag> a cada turno."
"Affected creature can summon an <LSTag Type=""Spell"" Tooltip=""Target_WildMagicBarbarian_ExplodingFlumph"">Intangible Spirit</LSTag> each turn, until no longer enraged.","A criatura afetada pode invocar um <LSTag Type=""Spell"" Tooltip=""Target_WildMagicBarbarian_ExplodingFlumph"">Espírito Intangível</LSTag> a cada turno, até não estar mais enfurecida."
Wild Soul: Intangible Spirit,Fúria: Espírito Intangível
"Summon a spectral flumph. The flumph explodes at the end of your turn, dealing [1] to each creature within [2].","Convoque um flumph espectral. O flumph explode no final do seu turno, causando [1] a cada criatura dentro de [2]."
Wild Soul: Exploding Flumph,Alma Selvagem: Flumph Explosivo
"Affected creature will explode at the end of its turn. Each creature within [1] must succeed a Dexterity based <LSTag Tooltip=""SavingThrow"">Saving Throw</LSTag> or take [2].","A criatura afetada explodirá no final de seu turno. Cada criatura dentro de [1] deve ter sucesso em um <LSTag Tooltip=""SavingThrow"">Teste de Resistência</LSTag> de Destreza ou sofrer [2]."
Wild Soul: Flumph Explosion,Alma Selvagem: Explosão de Flumph
Explode in a mess of arcane jelly.,Exploda em uma bagunça de geleia arcana.
"Magic infuses your weapon. Until no longer enraged, it deals an additional [1] and gains the <LSTag Tooltip=""Thrown"">Thrown</LSTag> property. Additionally, if thrown, your weapon will automatically return to you.","A magia infunde sua arma. Enquanto estiver enfurecido, ela causa [1] adicional e ganha a propriedade <LSTag Tooltip=""Thrown"">Arremessada</LSTag>. Além disso, se lançada, sua arma retornará automaticamente para você."
Wild Soul: Arcane Infusion,Alma Selvagem: Infusão Arcana
"Affected weapon is infused with arcane magic.<br><br>Until the wielder is no longer enraged, it deals an additional [1] and gains the <LSTag Tooltip=""Thrown"">Thrown</LSTag> property. Additionally, if thrown, it will automatically return its wielder.","A arma afetada está imbuída com magia arcana.<br><br>Enquanto o portador não estiver mais enfurecido, ela causa [1] a mais e ganha a propriedade <LSTag Tooltip=""Thrown"">Lançada</LSTag>. Além disso, se lançada, ela retornará automaticamente para seu portador."
"Until no longer enraged, arcane magic lashes out whenever you take damage, hitting your attackers in retaliation.","Até não estar mais enfurecido, a magia arcana ataca sempre que você recebe dano, atingindo seus atacantes em retaliação."
Wild Soul: Magic Retribution,Alma Selvagem: Retribuição Mágica
"Affected creature is protected by a wild, arcane magic. Until no longer enraged, enemies that damage them take [1] in retaliation.","A criatura afetada está protegida por uma magia arcana selvagem. Enquanto estiver enfurecida, inimigos que a danificarem recebem [1] em retaliação."
"Until no longer enraged, protective multicoloured lights surround you and nearby allies, increasing your <LSTag Tooltip=""ArmourClass"">Armour Class</LSTag> by 1. ","Até não estar mais enfurecido, luzes protetoras multicoloridas o cercam, aumentando sua <LSTag Tooltip=""ArmourClass"">Classe de Armadura</LSTag> em 1."
"Affected creature is protected by multicoloured lights. Until no longer enraged, the affected creature and any allies within [1] have a +1 bonus to their <LSTag Tooltip=""ArmourClass"">Armour Class</LSTag>.","A criatura afetada está protegida por luzes multicoloridas. Enquanto estiver enfurecida, a criatura afetada e quaisquer aliados dentro de [1] têm um bônus de +1 em sua <LSTag Tooltip=""ArmourClass"">Classe de Armadura</LSTag>."
Wild Soul: Protective Lights,Alma Selvagem: Luzes Protetoras
"Affected creature is surrounded by barbarous wild magic, and has been granted a +1 bonus to their <LSTag Tooltip=""ArmourClass"">Armour Class</LSTag>.","A criatura afetada está cercada por mágica selvagem bárbara e recebeu um bônus de +1 em sua <LSTag Tooltip=""ArmourClass"">Classe de Armadura</LSTag>."
"Until no longer enraged, shadowy vines burrow beneath you, making the ground <LSTag Type=""Status"" Tooltip=""DIFFICULT_TERRAIN"">Difficult Terrain</LSTag> for anyone but you.","Até não estar mais enfurecido, vinhas sombrias se enterram sob você, tornando o chão <LSTag Type=""Status"" Tooltip=""DIFFICULT_TERRAIN"">Terreno Difícil</LSTag> para qualquer um, exceto você."
Wild Soul: Shadow Terrain,Alma Selvagem: Terreno Sombrio
"Affected creature is surrounded by shadowy vines. Until no longer enraged, the ground within [1] of them becomes <LSTag Type=""Status"" Tooltip=""DIFFICULT_TERRAIN"">Difficult Terrain</LSTag> for everyone other than them.","A criatura afetada é cercada por vinhas sombrias. Até que não esteja mais enfurecida, o chão dentro de [1] dela se torna <LSTag Type=""Status"" Tooltip=""DIFFICULT_TERRAIN"">Terreno Difícil</LSTag> para todos, exceto para ela."
Wild Soul: Bolt of Light,Alma Selvagem: Raio de Luz
"Until no longer enraged, you may fire a beam of <LSTag Type=""Spell"" Tooltip=""Projectile_WildMagicBarbarian_LightBolt"">Barbaric Radiance</LSTag> from your chest each turn.","Enquanto não estiver mais enfurecido, você pode disparar um feixe de <LSTag Type=""Spell"" Tooltip=""Projectile_WildMagicBarbarian_LightBolt"">Radiação Barbarica</LSTag> do seu peito a cada turno."
Wild Soul: Light Bolt,Alma Selvagem: Raio de Luz
"Affected creature may fire a beam of <LSTag Type=""Spell"" Tooltip=""Projectile_WildMagicBarbarian_LightBolt"">Barbaric Radiance</LSTag> from their chest until no longer enraged.","A criatura afetada pode disparar um feixe de <LSTag Type=""Spell"" Tooltip=""Projectile_WildMagicBarbarian_LightBolt"">Radiação Bárbara</LSTag> de seu peito até que não esteja mais enfurecida."
Wild Soul: Barbaric Radiance,Alma Selvagem: Radiação Barbárica
"Fire a beam of light from your chest that <LSTag Type=""Status"" Tooltip=""BLINDED"">Blinds</LSTag> your target.","Dispare um feixe de luz do seu peito que <LSTag Type=""Status"" Tooltip=""BLINDED"">Cega</LSTag> seu alvo."
You remain enraged until the end of your current combat encounter.,Você permanece enfurecido até o final do seu encontro de combate atual.
Wild Soul: Bottomless Rage,Alma Selvagem: Fúria Infinita
Affected creature will remain enraged until the end of their current combat encounter.,A criatura afetada permanecerá enfurecida até o final do combate atual.
You drastically increase in size and musculature.,Você aumenta drasticamente de tamanho e musculatura.
Wild Soul: Mountainous Rampage,Fúria: Devastação Montanhosa
Affected creature has drastically increased in size and musculature.,A criatura afetada aumentou drasticamente de tamanho e musculatura.
Sweet Silence,Doce Silêncio
"All enemies within [1] of you become <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenced</LSTag> for three turns.","Todos os inimigos dentro de [1] de você se tornam <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenced</LSTag> por três turnos."
Speak No Evil,Fale Nenhum Mal
"You and all allies within [1] of you become <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenced</LSTag> for three turns.","Você e todos os aliados dentro de [1] de você se tornam <LSTag Type=""Status"" Tooltip=""SILENCED"">Silenciados</LSTag> por três turnos."
You Can't See Me,Você Não Pode Me Ver
