en,pt-BR
Target's level is too low to use this.,O nível do alvo é muito baixo para usar isso.
Ritual Caster,Invocador de Rituais
Can cast spell without expending a spell slot.,Pode lançar feitiço sem gastar um espaço de feitiço.
Difficult Terrain: Grease,Terreno Difícil: Graxa
Difficult Terrain: Sewer,Terreno Difícil: Esgoto
Spiritual Weapon,Arma Espiritual
Daylight,Luz do Dia
Healing Spirit,Espírito Curativo
"This is your resource for healing creatures through the <LSTag Type=""Spell"" Tooltip=""Target_HealingSpirit_Heal"">Healing Spirit</LSTag> spell.","Este é o seu recurso para curar criaturas através do feitiço <LSTag Type=""Spell"" Tooltip=""Target_HealingSpirit_Heal"">Espírito Curativo</LSTag>."
Healing Spirit Charge,Cura Espiritual Carregada
Can be healed through the Healing Spirit.,Pode ser curado através do Espírito Curativo.
Food and Water,Comida e Água
"This weapon is made of shadows, solidifed and given shape through the power of the Weave.","Esta arma é feita de sombras, solidificadas e moldadas pelo poder da Trama."
Shadow Blade,Lâmina das Sombras
Dust Devil,Diabo da Poeira
Bestial Spirit of Air,Espírito Bestial do Ar
Bestial Spirit of Land,Espírito Bestial da Terra
Fire Elemental,Elemental de Fogo
Earth Elemental,Elemental da Terra
Air Elemental,Elemental do Ar
Water Elemental,Elemental da Água
Grasping Vine,Vinha Agarradora
Maddening Darkness,Escuridão Perturbadora
This bow shoots forth a bolt of lightning.,Este arco dispara um raio de relâmpago.
Lightning Arrow,Flecha Relâmpago
Shadowspawn,Sombra Nascente
Draconic Spirit,Espírito Dracônico
Aether Storm,Tempestade Aérea
Conjure an additional familiar per level.,Conjure um familiar adicional por nível.
"Summon gains +1 to AC, +5 maximum <LSTag Tooltip=""HitPoints"">hit points</LSTag> and deals +1 additional damage on attacks per level.","Invocação ganha +1 na CA, +5 pontos de <LSTag Tooltip=""HitPoints"">vida</LSTag> máximos e causa +1 de dano adicional em ataques por nível."
Spell range increases by [1] per level.,O alcance da magia aumenta em [1] por nível.
Target deals an additional 1d6 damage of the chosen damage type per level.,O alvo recebe 1d6 de dano adicional do tipo de dano escolhido por nível.
Deals an additional 1d6 damage of a random type per level.,Causa 1d6 de dano adicional de um tipo aleatório por nível.
Target repeats saving throw each time it takes damage.,O alvo repete a salvaguarda cada vez que recebe dano.
Shard still explodes.,O fragmento ainda explode.
Arrow still explodes.,A flecha ainda explode.
Creates two more meteors per level.,Cria mais dois meteoros por nível.
"Summon gains +1 to AC, +15 maximum <LSTag Tooltip=""HitPoints"">hit points</LSTag> and deals +1 additional damage on attacks per level.","Invocação ganha +1 na CA, +15 de <LSTag Tooltip=""HitPoints"">pontos de vida</LSTag> máximos e causa +1 de dano adicional em ataques por nível."
"Summon gains +1 to AC, +[1] to their maximum and deals +1 additional damage on attacks per level.","Invocação ganha +1 na CA, +[1] no seu máximo e causa +1 de dano adicional em ataques por nível."
"For every [1] spell levels higher than the original, deal an additional [2].","Para cada [1] nível de feitiço acima do original, cause [2] a mais."
Gain an additional [1] per level.,Ganhe um adicional de [1] por nível.
Snare Trap,Armadilha de Armadilha
